selection,scenario_name,vehPtType,dragCoef,frontalAreaM2,gliderKg,vehCgM,driveAxleWeightFrac,wheelBaseM,cargoKg,vehOverrideKg,maxFuelStorKw,fuelStorSecsToPeakPwr,fuelStorKwh,fuelStorKwhPerKg,maxFuelConvKw,fcEffMap,fcEffType,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,mcPwrOutPerc,maxMotorKw,motorSecsToPeakPwr,stopStart,mcPeKgPerKw,mcPeBaseKg,maxEssKw,maxEssKwh,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,wheelInertiaKgM2,numWheels,wheelRrCoef,wheelRadiusM,wheelCoefOfFric,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,auxKw,forceAuxOnFC,transKg,transEff,compMassMultiplier,essToFuelOkError,maxRegen,valUddsMpgge,valHwyMpgge,valCombMpgge,valUddsKwhPerMile,valHwyKwhPerMile,valCombKwhPerMile,valCdRangeMi,valConst65MphKwhPerMile,valConst60MphKwhPerMile,valConst55MphKwhPerMile,valConst45MphKwhPerMile,valUnadjUddsKwhPerMile,valUnadjHwyKwhPerMile,val0To60Mph,valEssLifeMiles,valRangeMiles,valVehBaseCost,valMsrp,minFcTimeOn,idleFcKw
1,"Conv 2020 tech,  750 mi range",Conv,0.546,10.18,11776,0.46,0.8,2.28,16329.34474,0,5000,1,3953.2751740000003,9.875636446,340,"[0.05, 0.07, 0.12, 0.21, 0.26, 0.34, 0.38, 0.42, 0.45, 0.46, 0.46, 0.46]",5,6,0,0.2745,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]",0.0,4,False',0.333333333,0,0.0,0.0,4.7,75,0.97,110,-0.6811,10,18,0.0061,0.506,0.6,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.0,False,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
2,"Conv 2020 tech,  750 mi range",Conv,0.546,10.18,11776,0.46,0.8,2.28,16329.34474,0,5000,1,3953.2751740000003,9.875636446,340,"[0.05, 0.07, 0.12, 0.21, 0.26, 0.34, 0.38, 0.42, 0.45, 0.46, 0.46, 0.46]",5,6,0,0.2745,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]",0.0,4,False',0.333333333,0,0.0,0.0,4.7,75,0.97,110,-0.6811,10,18,0.0061,0.506,0.6,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.0,False,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
3,"Conv 2020 tech,  750 mi range",Conv,0.546,10.18,11776,0.46,0.8,2.28,16329.34474,0,5000,1,3953.2751740000003,9.875636446,340,"[0.05, 0.07, 0.12, 0.21, 0.26, 0.34, 0.38, 0.42, 0.45, 0.46, 0.46, 0.46]",5,6,0,0.2745,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]",0.0,4,False',0.333333333,0,0.0,0.0,4.7,75,0.97,110,-0.6811,10,18,0.0061,0.506,0.6,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.0,False,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
4,"EV 2025 tech,  750 mi range",BEV,0.5026666670000001,10.18,11776,0.46,0.8,2.28,16329.34474,0,0,1,0.0,9.875636446,0,"[0.1, 0.14, 0.2, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",3,6,0,0.0,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]",295.00825069999996,4,False',0.266344418,0,324.5090758,2430.789183,4.03,75,0.97,110,-0.6811,10,18,0.005966666999999999,0.506,0.6,0.03,0.8148564220000001,0,0,60,0.2,0,1,100,1,0.8766446609999999,3.233333333,False,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
