selection,scenario_name,vehPtType,dragCoef,frontalAreaM2,gliderKg,vehCgM,driveAxleWeightFrac,wheelBaseM,cargoKg,vehOverrideKg,maxFuelStorKw,fuelStorSecsToPeakPwr,fuelStorKwh,fuelStorKwhPerKg,maxFuelConvKw,fcEffMap,fcEffType,fcAbsEffImpr,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,mcPwrOutPerc,largeBaselineEff,smallBaselineEff,modernMax,maxMotorKw,motorPeakEff,motorSecsToPeakPwr,stopStart,mcPeKgPerKw,mcPeBaseKg,maxEssKw,maxEssKwh,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,wheelInertiaKgM2,numWheels,wheelRrCoef,wheelRadiusM,wheelCoefOfFric,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,auxKw,forceAuxOnFC,transKg,transEff,compMassMultiplier,essToFuelOkError,maxRegen,valUddsMpgge,valHwyMpgge,valCombMpgge,valUddsKwhPerMile,valHwyKwhPerMile,valCombKwhPerMile,valCdRangeMi,valConst65MphKwhPerMile,valConst60MphKwhPerMile,valConst55MphKwhPerMile,valConst45MphKwhPerMile,valUnadjUddsKwhPerMile,valUnadjHwyKwhPerMile,val0To60Mph,valEssLifeMiles,valRangeMiles,valVehBaseCost,valMsrp,minFcTimeOn,idleFcKw
1,"Conv 2020 tech,  750 mi range",1,0.546,10.18,11776,0.46,0.8,2.28,16329.34474,0,5000,1,3953.275174,9.875636446,340,"[0.05, 0.07, 0.12, 0.21, 0.26, 0.34, 0.38, 0.42, 0.45, 0.46, 0.46, 0.46]",5,0,6,0,0.2745,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85, 0.87, 0.89, 0.90, 0.91, 0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,0,0.93,4,False',0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0061,0.506,0.6,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
2,"Conv 2020 tech,  750 mi range",1,0.546,10.18,11776,0.46,0.8,2.28,16329.34474,0,5000,1,3953.275174,9.875636446,340,"[0.05, 0.07, 0.12, 0.21, 0.26, 0.34, 0.38, 0.42, 0.45, 0.46, 0.46, 0.46]",5,0,6,0,0.2745,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85, 0.87, 0.89, 0.90, 0.91, 0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,0,0.93,4,False',0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0061,0.506,0.6,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
3,"Conv 2020 tech,  750 mi range",1,0.546,10.18,11776,0.46,0.8,2.28,16329.34474,0,5000,1,3953.275174,9.875636446,340,"[0.05, 0.07, 0.12, 0.21, 0.26, 0.34, 0.38, 0.42, 0.45, 0.46, 0.46, 0.46]",5,0,6,0,0.2745,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85, 0.87, 0.89, 0.90, 0.91, 0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,0,0.93,4,False',0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0061,0.506,0.6,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
4,"EV 2025 tech,  750 mi range",4,0.502666667,10.18,11776,0.46,0.8,2.28,16329.34474,0,5000,1,0,9.875636446,0,"[0.1, 0.14, 0.2, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",3,0,6,0,0,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,295.0082507,0.939526407,4,False',0.266344418,0,324.5090758,2430.789183,4.03,75,0.97,110,-0.6811,10,18,0.005966667,0.506,0.6,0.03,0.814856422,0,0,60,0.2,0,1,100,1,0.876644661,3.233333333,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
