selection,drive_cycle,vmt_reduct_per_yr,vmt,constant_trip_distance_mi,vehicle_life_yr,desired_ess_replacements,discount_rate_pct_per_yr,ess_cost_dol_per_kw,ess_cost_dol_per_kwh,ess_base_cost_dol,ess_cost_reduction_dol_per_yr,ess_salvage_value_dol,pe_mc_cost_dol_per_kw,pe_mc_base_cost_dol,fc_ice_cost_dol_per_kw,fc_ice_base_cost_dol,fc_fuelcell_cost_dol_per_kw,fs_cost_dol_per_kwh,fs_h2_cost_dol_per_kwh,plug_base_cost_dol,markup_pct,tax_rate_pct,fc_cng_ice_cost_dol_per_kw,fs_cng_cost_dol_per_kwh,vehicle_glider_cost_dol,segment_name,gvwr_kg,gvwr_credit_kg,fuel_type,CONV_maintDolPerMi,ADV_maintDolPerMi,vocation,model_year,region,target_range_mi,min_speed_at_6pct_grade_in_5min_mph,min_speed_at_1p25pct_grade_in_5min_mph,max_time_0_to_60mph_at_gvwr_s,max_time_0_to_30mph_at_gvwr_s
1,EPA_City.csv,0,"[100000, 100000, 100000, 100000, 100000, 100000, 100000,]",0,7,0,0.041,0,197,0,0,0,17,0,47.3,5000,190,0.07,36,500,1.5,0,55,7.467735503,121918.9997,HDTC8,36287.43275,907.1847,diesel,0.22,0.11,Long haul,2020,United States T2CO,500,30,65,80,20
2,EPA_City.csv,0,"[100000, 100000, 100000, 100000, 100000, 100000, 100000,]",0,7,0,0.041,0,197,0,0,0,17,0,47.3,5000,190,0.07,36,500,1.5,0,55,7.467735503,121918.9997,HDTC8,36287.43275,907.1847,diesel,0.22,0.11,Long haul,2020,United States T2CO,500,30,65,80,20
3,EPA_City.csv,0,"[100000, 100000, 100000, 100000, 100000, 100000, 100000,]",0,7,0,0.041,0,197,0,0,0,17,0,47.3,5000,190,0.07,36,500,1.5,0,55,7.467735503,121918.9997,HDTC8,36287.43275,907.1847,diesel,0.22,0.11,Long haul,2020,United States T2CO,500,30,65,80,20
4,"[(""EPA_City.csv"", .33333),(""EPA_City.csv"", .33333),(""EPA_City.csv"", .33333),]",0,"[100000, 100000, 100000, 100000, 100000, 100000, 100000,]",0,7,0,0.041,0,197,0,0,0,17,0,47.3,5000,190,0.07,36,500,1.5,0,55,7.467735503,121918.9997,HDTC8,36287.43275,907.1847,diesel,0.22,0.11,Long haul,2020,United States T2CO,500,30,65,80,20
