,scenarioName,mpgge,mpdge,aveFcEff,vehKg,gliderKg,fcKg,fsKg,essKg,mcKg,transKg,cargoKg,cargoMaxKg,vehMaxKg,MSRP,gliderDol,fcDol,fsDol,plugDol,mcDol,essDol,essReplacements,purchaseTax,tcoBattery,tcoBatteryReplacements,tcoFuel,tcoFuelConverter,tcoFuelStorage,tcoGlider,tcoMotorAndElectronics,tcoPlug,tcoTax,tcoLaborOpportunityCost,tcoMaintenance,tcoPayload,tcoOpportunityCost,MinSpeed6PercentGradeIn5min,MinSpeed1point25PercentGradeIn5min,Max0to60secAtGVWR,Max0to30secAtGVWR,Powertrain,Year,accel_0_30_typical_sec,accel_0_60_typical_sec,accel_0_30_loaded_sec,accel_0_60_loaded_sec,grade_6_mph,grade_1_25_mph
1,"Conv 2020 tech,  200 mi range",2.979689753854098,3.36704942185513,0.21238660265198886,28272.602212937836,9002.588797,734.4262295081967,231.36331642964169,0.0,0.0,360.0,17944.223869999998,58004.954987062156,68333.33333,115037.75845000001,102918.9082,11918.925,199.92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122721.1287507429,11918.925,199.92525,102918.9082,0.0,0.0,0.0,0.0,26616.161672198643,0.0,0.0,1.1,1.1,1.1,1.1,Conv,2020.0,21.532679904142054,111.4104869672879,54.66161946324017,-53.30766567102139,8.028560064360038,27.965414953048377
2,"Conv 2025 tech,  200 mi range",3.5041770168587854,3.959720029050427,0.24448831014890512,28272.602212937836,9002.588797,734.4262295081967,231.36331642964169,0.0,0.0,360.0,17944.223869999998,58004.954987062156,68333.33333,132287.75845,102918.9082,29168.924999999996,199.92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110664.45272034753,29168.925,199.92525,102918.9082,0.0,0.0,0.0,0.0,26616.161672198643,0.0,0.0,,,,,Conv,2025.0,21.290886704196815,104.06188847457057,52.91516908316684,-55.44495673711957,8.10331560538186,28.874383395855507
3,"Conv 2030 tech,  200 mi range",3.905457111216673,4.41316653567484,0.2711722553179105,28272.602212937836,9002.588797,734.4262295081967,231.36331642964169,0.0,0.0,360.0,17944.223869999998,58004.954987062156,68333.33333,128537.75845,102918.9082,25418.924999999996,199.92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104994.27408938357,25418.925,199.92525,102918.9082,0.0,0.0,0.0,0.0,26616.161672198643,0.0,0.0,,,,,Conv,2030.0,21.224696882695234,101.240830262039,52.520155991848775,-56.17916293086532,8.118786638330773,29.11270791436043
4,"Conv 2035 tech,  200 mi range",4.1780673809507105,4.7212161404743025,0.2888080869226138,28272.602212937836,9002.588797,734.4262295081967,231.36331642964169,0.0,0.0,360.0,17944.223869999998,58004.954987062156,68333.33333,124787.75845000001,102918.9082,21668.925000000003,199.92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102295.67500377935,21668.925000000007,199.92525,102918.9082,0.0,0.0,0.0,0.0,26616.161672198643,0.0,0.0,,,,,Conv,2035.0,21.170684354788726,99.51179008169798,52.170754711259036,-56.74343378636973,8.13409907417305,29.32385619317933
5,"Conv 2040 tech,  200 mi range",4.45851206960955,5.038118638658791,0.3068317960473428,28272.602212937836,9002.588797,734.4262295081967,231.36331642964169,0.0,0.0,360.0,17944.223869999998,58004.954987062156,68333.33333,121037.75845000001,102918.9082,17918.925000000003,199.92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99536.02863565936,17918.925000000007,199.92525,102918.9082,0.0,0.0,0.0,0.0,26616.161672198643,0.0,0.0,,,,,Conv,2040.0,21.118548352817715,97.97862136253758,51.83206149082844,-57.29207022901882,8.149441875289746,29.53401677877304
6,"Conv 2045 tech,  200 mi range",4.733394960539216,5.3487363054093136,0.3243052090742616,28272.602212937836,9002.588797,734.4262295081967,231.36331642964169,0.0,0.0,360.0,17944.223869999998,58004.954987062156,68333.33333,117287.75845000001,102918.9082,14168.925,199.92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97441.6964989032,14168.925,199.92525,102918.9082,0.0,0.0,0.0,0.0,26616.161672198643,0.0,0.0,,,,,Conv,2045.0,21.066778283324265,96.51381423753409,51.49880075801045,-57.84969614862468,8.164844297742832,29.747385167119848
7,"Conv 2050 tech,  200 mi range",4.999810389745158,5.649785740412028,0.341040016648989,28272.602212937836,9002.588797,734.4262295081967,231.36331642964169,0.0,0.0,360.0,17944.223869999998,58004.954987062156,68333.33333,113537.75845000001,102918.9082,10418.925,199.92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95760.03249250201,10418.925,199.92525,102918.9082,0.0,0.0,0.0,0.0,26616.161672198643,0.0,0.0,,,,,Conv,2050.0,21.015322459080128,95.11218114335786,51.170871332500745,-58.41652965534434,8.1803067038598,29.96403248837562
8,"FCEV 2020 tech,  200 mi range",10.333177294962104,11.676490343307176,0.5626401609030452,28232.758612878744,9002.588797,210.0,445.94594594594594,202.79999999999998,67.1999999328,360.0,17944.223869999998,58044.79858712124,68333.33333,188424.9082,102918.9082,47880.0,29700.0,0.0,2016.0,5910.0,0.0,0.0,5910.0,0.0,102940.28313493256,47880.0,29700.0,102918.9082,2016.0,0.0,0.0,0.0,33337.41461972355,0.0,0.0,,,,,FCEV,2020.0,20.127287104659388,107.27057086145697,52.56740526349439,-51.30754621686752,7.49880069025283,26.25841296717466
9,"FCEV 2025 tech,  200 mi range",10.973935725955323,12.400547370329514,0.5716297696670961,28111.541427158994,9002.588797,197.6470588235294,366.66666666666663,186.72000000000003,53.695034668800005,360.0,17944.223869999998,58166.01577284099,68333.33333,156750.9082,102918.9082,34020.0,13200.0,0.0,1512.0,5100.0,0.0,0.0,5100.0,0.0,79617.63671031261,34020.0,13200.0,102918.9082,1512.0,0.0,0.0,0.0,33337.41461972355,0.0,0.0,,,,,FCEV,2025.0,19.814737433114498,99.84949360719182,50.894197611689776,-53.43035437565706,7.56857395067588,27.119425837070523
10,"FCEV 2030 tech,  200 mi range",11.401858514286692,12.88410012114396,0.5877970655273852,28079.774174822134,9002.588797,195.3488372093023,351.06382978723406,179.376,47.1728408256,360.0,17944.223869999998,58197.78302517785,68333.33333,151010.10820000002,102918.9082,30240.0,11880.0,0.0,1411.1999999999998,4560.0,0.0,0.0,4560.0,0.0,69555.65985557638,30240.0,11880.0,102918.9082,1411.1999999999996,0.0,0.0,0.0,33337.41461972355,0.0,0.0,,,,,FCEV,2030.0,19.73055609508437,97.08097439213006,50.51532429368444,-54.14443718307476,7.582972065256706,27.34039781962484
11,"FCEV 2035 tech,  200 mi range",11.861320525034813,13.403292193289337,0.6055891703090341,28049.33345593421,9002.588797,193.10344827586206,336.734693877551,172.032,40.6506467808,360.0,17944.223869999998,58228.22374406578,68333.33333,145269.3082,102918.9082,26460.0,10560.0,0.0,1310.4,4020.0,0.0,0.0,4020.0,0.0,60061.504591095516,26460.0,10560.0,102918.9082,1310.4,0.0,0.0,0.0,33337.41461972355,0.0,0.0,,,,,FCEV,2035.0,19.65914788095119,95.34172724527248,50.1801192726613,-54.699109504692615,7.597247551269189,27.538626363267777
12,"FCEV 2040 tech,  200 mi range",12.235801964673378,13.826456220080916,0.6187185385058714,28020.067622611394,9002.588797,190.9090909090909,323.5294117647059,164.68800000000002,34.128452937599995,360.0,17944.223869999998,58257.489577388595,68333.33333,139528.5082,102918.9082,22680.0,9240.0,0.0,1209.6,3480.0,0.0,0.0,3480.0,0.0,51631.57458943059,22680.0,9240.0,102918.9082,1209.6,0.0,0.0,0.0,33337.41461972355,0.0,0.0,,,,,FCEV,2040.0,19.59049693205026,93.79397648908524,49.8551008631619,-55.23946714313297,7.611554468808104,27.73632349612196
13,"FCEV 2045 tech,  200 mi range",12.616176029397732,14.256278913219436,0.6317950015160064,27991.847725755197,9002.588797,188.7640449438202,311.32075471698107,157.344,27.606259094399995,360.0,17944.223869999998,58285.709474244795,68333.33333,133787.7082,102918.9082,18900.0,7920.0,0.0,1108.8000000000002,2940.0,0.0,0.0,2940.0,0.0,44786.29798535297,18900.0,7920.0,102918.9082,1108.8000000000004,0.0,0.0,0.0,33337.41461972355,0.0,0.0,,,,,FCEV,2045.0,19.523097206616885,92.31759035408092,49.5352088842133,-55.78868472671127,7.625916700733111,27.937055513657967
14,"FCEV 2050 tech,  200 mi range",13.002960371674988,14.693345219992734,0.6448681566625196,27964.563398917868,9002.588797,186.66666666666666,300.0,150.0,21.0840652512,360.0,17944.223869999998,58312.99380108213,68333.33333,128046.9082,102918.9082,15120.0,6600.0,0.0,1008.0,2400.0,0.0,0.0,2400.0,0.0,41352.13985372844,15120.0,6600.0,102918.9082,1008.0,0.0,0.0,0.0,33337.41461972355,0.0,0.0,,,,,FCEV,2050.0,19.456813484374674,90.90682116365778,49.2203150833965,-56.346974440888324,7.64033457993224,28.140890881174222
