cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0.18,0,0
8,0.53,0,0
9,1.01,0,0
10,1.43,0,0
11,1.77,0,0
12,2.08,0,0
13,2.38,0,0
14,2.66,0,0
15,2.9,0,0
16,3.09,0,0
17,3.25,0,0
18,3.42,0,0
19,3.59,0,0
20,3.74,0,0
21,3.84,0,0
22,3.91,0,0
23,3.94,0,0
24,3.94,0,0
25,3.92,0,0
26,3.87,0,0
27,3.84,0,0
28,3.81,0,0
29,3.78,0,0
30,3.75,0,0
31,3.71,0,0
32,3.67,0,0
33,3.63,0,0
34,3.58,0,0
35,3.55,0,0
36,3.55,0,0
37,3.49,0,0
38,3.32,0,0
39,3.04,0,0
40,2.6,0,0
41,2.08,0,0
42,1.35,0,0
43,0.84,0,0
44,0.51,0,0
45,0.51,0,0
46,0.5,0,0
47,0.5,0,0
48,0.53,0,0
49,0.7,0,0
50,1.03,0,0
51,1.51,0,0
52,2.02,0,0
53,2.49,0,0
54,2.87,0,0
55,3.17,0,0
56,3.39,0,0
57,3.57,0,0
58,3.72,0,0
59,3.86,0,0
60,3.98,0,0
61,4.08,0,0
62,4.15,0,0
63,4.2,0,0
64,4.2,0,0
65,4.11,0,0
66,3.95,0,0
67,3.73,0,0
68,3.49,0,0
69,3.23,0,0
70,2.97,0,0
71,2.74,0,0
72,2.57,0,0
73,2.51,0,0
74,2.53,0,0
75,2.59,0,0
76,2.66,0,0
77,2.72,0,0
78,2.78,0,0
79,2.82,0,0
80,2.83,0,0
81,2.89,0,0
82,2.97,0,0
83,3.08,0,0
84,3.15,0,0
85,3.15,0,0
86,3.13,0,0
87,3.08,0,0
88,3.08,0,0
89,3.08,0,0
90,3.11,0,0
91,3.15,0,0
92,3.21,0,0
93,3.26,0,0
94,3.3,0,0
95,3.34,0,0
96,3.38,0,0
97,3.4,0,0
98,3.39,0,0
99,3.37,0,0
100,3.33,0,0
101,3.31,0,0
102,3.3,0,0
103,3.3,0,0
104,3.29,0,0
105,3.29,0,0
106,3.3,0,0
107,3.32,0,0
108,3.32,0,0
109,3.31,0,0
110,3.3,0,0
111,3.32,0,0
112,3.35,0,0
113,3.38,0,0
114,3.4,0,0
115,3.4,0,0
116,3.4,0,0
117,3.42,0,0
118,3.43,0,0
119,3.46,0,0
120,3.5,0,0
121,3.53,0,0
122,3.56,0,0
123,3.57,0,0
124,3.59,0,0
125,3.58,0,0
126,3.52,0,0
127,3.39,0,0
128,3.22,0,0
129,2.91,0,0
130,2.47,0,0
131,1.95,0,0
132,1.48,0,0
133,1.12,0,0
134,0.87,0,0
135,0.7,0,0
136,0.42,0,0
137,0.19,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0.5,0,0
173,1.18,0,0
174,1.99,0,0
175,2.54,0,0
176,3.02,0,0
177,3.39,0,0
178,3.46,0,0
179,3.41,0,0
180,3.43,0,0
181,3.89,0,0
182,4.56,0,0
183,5.33,0,0
184,5.74,0,0
185,5.93,0,0
186,5.98,0,0
187,6.08,0,0
188,6.33,0,0
189,6.63,0,0
190,7.37,0,0
191,8.19,0,0
192,9.1,0,0
193,9.6,0,0
