cycSecs,cycMps,cycGrade,cycRoadType
0,29.05765417,0,0
1,29.05765417,0,0
2,29.05765417,0,0
3,29.05765417,0,0
4,29.05765417,0,0
5,29.05765417,0,0
6,29.05765417,0,0
7,29.05765417,0,0
8,29.05765417,0,0
9,29.05765417,0,0
10,29.05765417,0,0
11,29.05765417,0,0
12,29.05765417,0,0
13,29.05765417,0,0
14,29.05765417,0,0
15,29.05765417,0,0
16,29.05765417,0,0
17,29.05765417,0,0
18,29.05765417,0,0
19,29.05765417,0,0
20,29.05765417,0,0
21,29.05765417,0,0
22,29.05765417,0,0
23,29.05765417,0,0
24,29.05765417,0,0
25,29.05765417,0,0
26,29.05765417,0,0
27,29.05765417,0,0
28,29.05765417,-0.00046786,0
29,29.05765417,4.83819E-05,0
30,29.05765417,0.002140533,0
31,29.05765417,0.002967316,0
32,29.05765417,0.000875165,0
33,29.05765417,-0.000357912,0
34,29.05765417,-0.001864605,0
35,29.05765417,-0.00367225,0
36,29.05765417,-0.005972648,0
37,29.05765417,-0.008273045,0
38,29.05765417,-0.010226557,0
39,29.05765417,-0.007926159,0
40,29.05765417,-0.005625762,0
41,29.05765417,-0.003325364,0
42,29.05765417,-0.001637405,0
43,29.05765417,-0.000130712,0
44,29.05765417,0.000449948,0
45,29.05765417,0.001349352,0
46,29.05765417,0.002248755,0
47,29.05765417,0.003148159,0
48,29.05765417,0.004089294,0
49,29.05765417,0.005243054,0
50,29.05765417,0.006396813,0
51,29.05765417,0.008143523,0
52,29.05765417,0.010016977,0
53,29.05765417,0.011982211,0
54,29.05765417,0.014296061,0
55,29.05765417,0.016609911,0
56,29.05765417,0.018923762,0
57,29.05765417,0.021237612,0
58,29.05765417,0.023551462,0
59,29.05765417,0.022934688,0
60,29.05765417,0.020620838,0
61,29.05765417,0.018306987,0
62,29.05765417,0.015993137,0
63,29.05765417,0.013679287,0
64,29.05765417,0.011391048,0
65,29.05765417,0.009517594,0
66,29.05765417,0.00764414,0
67,29.05765417,0.00608927,0
68,29.05765417,0.00493551,0
69,29.05765417,0.00380782,0
70,29.05765417,0.002908416,0
71,29.05765417,0.002009012,0
72,29.05765417,0.001109609,0
73,29.05765417,0.000210205,0
74,29.05765417,-0.00010666,0
75,29.05765417,-0.000833102,0
76,29.05765417,-0.001559543,0
77,29.05765417,-0.002285984,0
78,29.05765417,-0.003012426,0
79,29.05765417,-0.003738867,0
80,29.05765417,-0.004465308,0
81,29.05765417,-0.005400603,0
82,29.05765417,-0.006383435,0
83,29.05765417,-0.007572033,0
84,29.05765417,-0.008988594,0
85,29.05765417,-0.010405154,0
86,29.05765417,-0.012186944,0
87,29.05765417,-0.014109877,0
88,29.05765417,-0.016188799,0
89,29.05765417,-0.018521059,0
90,29.05765417,-0.020853318,0
91,29.05765417,-0.023185577,0
92,29.05765417,-0.025517836,0
93,29.05765417,-0.027149905,0
94,29.05765417,-0.024817646,0
95,29.05765417,-0.022485387,0
96,29.05765417,-0.020153128,0
97,29.05765417,-0.017820869,0
98,29.05765417,-0.01548861,0
99,29.05765417,-0.013532575,0
100,29.05765417,-0.011609642,0
101,29.05765417,-0.009979875,0
102,29.05765417,-0.008563315,0
103,29.05765417,-0.007146754,0
104,29.05765417,-0.006088369,0
105,29.05765417,-0.005105537,0
106,29.05765417,-0.004247216,0
107,29.05765417,-0.003520775,0
108,29.05765417,-0.002794334,0
109,29.05765417,-0.002067892,0
110,29.05765417,-0.001341451,0
111,29.05765417,-0.00061501,0
112,29.05765417,0,0
113,29.05765417,0.000898713,0
114,29.05765417,0.002236895,0
115,29.05765417,0.003617977,0
116,29.05765417,0.005720834,0
117,29.05765417,0.00782369,0
118,29.05765417,0.010027233,0
119,29.05765417,0.012358603,0
120,29.05765417,0.014689973,0
121,29.05765417,0.014778657,0
122,29.05765417,0.012447287,0
123,29.05765417,0.010115918,0
124,29.05765417,0.007903682,0
125,29.05765417,0.005800826,0
126,29.05765417,0.003697969,0
127,29.05765417,0.002287799,0
128,29.05765417,0.000949618,0
129,29.05765417,0,0
130,29.05765417,-0.000325682,0
131,29.05765417,-0.00076595,0
132,29.05765417,-0.001295225,0
133,29.05765417,-0.001925519,0
134,29.05765417,-0.002555814,0
135,29.05765417,-0.003186109,0
136,29.05765417,-0.003816403,0
137,29.05765417,-0.004446698,0
138,29.05765417,-0.005076993,0
139,29.05765417,-0.005707287,0
140,29.05765417,-0.006337582,0
141,29.05765417,-0.007006852,0
142,29.05765417,-0.007999065,0
143,29.05765417,-0.008991277,0
144,29.05765417,-0.010076495,0
145,29.05765417,-0.011394226,0
146,29.05765417,-0.012711957,0
147,29.05765417,-0.014185231,0
148,29.05765417,-0.015979968,0
149,29.05765417,-0.017774706,0
150,29.05765417,-0.020057597,0
151,29.05765417,-0.022347466,0
152,29.05765417,-0.024637336,0
153,29.05765417,-0.026927205,0
154,29.05765417,-0.029217075,0
155,29.05765417,-0.031506944,0
156,29.05765417,-0.030803186,0
157,29.05765417,-0.028513317,0
158,29.05765417,-0.026223447,0
159,29.05765417,-0.023933578,0
160,29.05765417,-0.021643708,0
161,29.05765417,-0.019353839,0
162,29.05765417,-0.017223119,0
163,29.05765417,-0.015428382,0
164,29.05765417,-0.013633644,0
165,29.05765417,-0.012306971,0
166,29.05765417,-0.010989241,0
167,29.05765417,-0.009678548,0
168,29.05765417,-0.008686335,0
169,29.05765417,-0.007694123,0
170,29.05765417,-0.006774165,0
171,29.05765417,-0.00614387,0
172,29.05765417,-0.005513576,0
173,29.05765417,-0.004883281,0
174,29.05765417,-0.004252986,0
175,29.05765417,-0.003622691,0
176,29.05765417,-0.002992397,0
177,29.05765417,-0.002362102,0
178,29.05765417,-0.001731807,0
179,29.05765417,-0.001101513,0
180,29.05765417,-0.00063064,0
181,29.05765417,-0.000190373,0
182,29.05765417,0,0
183,29.05765417,0,0
184,29.05765417,0.000292957,0
185,29.05765417,0.000638881,0
186,29.05765417,0.000984806,0
187,29.05765417,0.00121138,0
188,29.05765417,0.001432471,0
189,29.05765417,0.001653561,0
190,29.05765417,0.001917135,0
191,29.05765417,0.002192005,0
192,29.05765417,0.002466875,0
193,29.05765417,0.002741744,0
194,29.05765417,0.003016614,0
195,29.05765417,0.003291484,0
196,29.05765417,0.003566353,0
197,29.05765417,0.003845394,0
198,29.05765417,0.004148078,0
199,29.05765417,0.004450762,0
200,29.05765417,0.004753446,0
201,29.05765417,0.00505613,0
202,29.05765417,0.005358814,0
203,29.05765417,0.005661498,0
204,29.05765417,0.006013905,0
205,29.05765417,0.006408259,0
206,29.05765417,0.006802613,0
207,29.05765417,0.007196967,0
208,29.05765417,0.007591321,0
209,29.05765417,0.008087121,0
210,29.05765417,0.008621515,0
211,29.05765417,0.009155909,0
212,29.05765417,0.009690302,0
213,29.05765417,0.010224696,0
214,29.05765417,0.01075909,0
215,29.05765417,0.011397573,0
216,29.05765417,0.012073333,0
217,29.05765417,0.012749092,0
218,29.05765417,0.013573418,0
219,29.05765417,0.014440461,0
220,29.05765417,0.015307504,0
221,29.05765417,0.016174547,0
222,29.05765417,0.01716378,0
223,29.05765417,0.018270738,0
224,29.05765417,0.019377697,0
225,29.05765417,0.020484655,0
226,29.05765417,0.021684583,0
227,29.05765417,0.023328635,0
228,29.05765417,0.024972686,0
229,29.05765417,0.026667667,0
230,29.05765417,0.028403055,0
231,29.05765417,0.030120364,0
232,29.05765417,0.031629126,0
233,29.05765417,0.033632115,0
234,29.05765417,0.03684375,0
235,29.05765417,0.041087147,0
236,29.05765417,0.045348936,0
237,29.05765417,0.049610726,0
238,29.05765417,0.046327485,0
239,29.05765417,0.042065696,0
240,29.05765417,0.037803907,0
241,29.05765417,0.034369538,0
242,29.05765417,0.031975553,0
243,29.05765417,0.03046679,0
244,29.05765417,0.028801517,0
245,29.05765417,0.02706613,0
246,29.05765417,0.025350177,0
247,29.05765417,0.023706125,0
248,29.05765417,0.022062074,0
249,29.05765417,0.020738823,0
250,29.05765417,0.019631865,0
251,29.05765417,0.018524907,0
252,29.05765417,0.017417949,0
253,29.05765417,0.016373629,0
254,29.05765417,0.015506586,0
255,29.05765417,0.014639543,0
256,29.05765417,0.0137725,0
257,29.05765417,0.012905457,0
258,29.05765417,0.012228494,0
259,29.05765417,0.011552734,0
260,29.05765417,0.010881792,0
261,29.05765417,0.010347398,0
262,29.05765417,0.009813004,0
263,29.05765417,0.009278611,0
264,29.05765417,0.008744217,0
265,29.05765417,0.008209823,0
266,29.05765417,0.007681868,0
267,29.05765417,0.007287515,0
268,29.05765417,0.006893161,0
269,29.05765417,0.006498807,0
270,29.05765417,0.006104453,0
271,29.05765417,0.005730997,0
272,29.05765417,0.005428313,0
273,29.05765417,0.005125629,0
274,29.05765417,0.004822945,0
275,29.05765417,0.004520262,0
276,29.05765417,0.004217578,0
277,29.05765417,0.003914894,0
278,29.05765417,0.003629466,0
279,29.05765417,0.003354597,0
280,29.05765417,0.003079727,0
281,29.05765417,0.002804857,0
282,29.05765417,0.002529987,0
283,29.05765417,0.002255118,0
284,29.05765417,0.001980248,0
285,29.05765417,0.001705378,0
286,29.05765417,0.001483235,0
287,29.05765417,0.001262144,0
288,29.05765417,0.001041053,0
289,29.05765417,0.000718309,0
290,29.05765417,0.000372384,0
291,29.05765417,2.646E-05,0
292,29.05765417,0,0
293,29.05765417,-0.000426341,0
294,29.05765417,-0.001468031,0
295,29.05765417,-0.00250972,0
296,29.05765417,-0.003551409,0
297,29.05765417,-0.004943037,0
298,29.05765417,-0.006444349,0
299,29.05765417,-0.00848389,0
300,29.05765417,-0.010757967,0
301,29.05765417,-0.013032045,0
302,29.05765417,-0.015306122,0
303,29.05765417,-0.017580199,0
304,29.05765417,-0.019854277,0
305,29.05765417,-0.020471646,0
306,29.05765417,-0.018197569,0
307,29.05765417,-0.015923492,0
308,29.05765417,-0.013649414,0
309,29.05765417,-0.011375337,0
310,29.05765417,-0.00910126,0
311,29.05765417,-0.006851927,0
312,29.05765417,-0.005350615,0
313,29.05765417,-0.003849303,0
314,29.05765417,-0.002792519,0
315,29.05765417,-0.00175083,0
316,29.05765417,-0.00070914,0
317,29.05765417,0,0
318,29.05765417,0.001426426,0
319,29.05765417,0.003202285,0
320,29.05765417,0.005569946,0
321,29.05765417,0.006062394,0
322,29.05765417,0.003694733,0
323,29.05765417,0.001753792,0
324,29.05765417,0.000179836,0
325,29.05765417,-0.00078688,0
326,29.05765417,-0.002239763,0
327,29.05765417,-0.003859872,0
328,29.05765417,-0.006142973,0
329,29.05765417,-0.008426074,0
330,29.05765417,-0.010709176,0
331,29.05765417,-0.012992277,0
332,29.05765417,-0.011324621,0
333,29.05765417,-0.00904152,0
334,29.05765417,-0.006758419,0
335,29.05765417,-0.004475317,0
336,29.05765417,-0.00263141,0
337,29.05765417,-0.001178527,0
338,29.05765417,0,0
339,29.05765417,0.001031996,0
340,29.05765417,0.002253738,0
341,29.05765417,0.00347548,0
342,29.05765417,0.005149417,0
343,29.05765417,0.006925162,0
344,29.05765417,0.009222777,0
345,29.05765417,0.011543354,0
346,29.05765417,0.01386393,0
347,29.05765417,0.016184507,0
348,29.05765417,0.018494917,0
349,29.05765417,1.62E-02,0
350,29.05765417,0.013853764,0
351,29.05765417,0.011533187,0
352,29.05765417,0.009212611,0
353,29.05765417,0.006917383,0
354,29.05765417,0.005141637,0
355,29.05765417,0.003470128,0
356,29.05765417,0.002248386,0
357,29.05765417,0.001026643,0
358,29.05765417,0,0
359,29.05765417,-0.000912296,0
360,29.05765417,-0.002134038,0
361,29.05765417,-0.00335578,0
362,29.05765417,-0.004975438,0
363,29.05765417,-0.006751184,0
364,29.05765417,-0.008995419,0
365,29.05765417,-0.011315996,0
366,29.05765417,-0.013636572,0
367,29.05765417,-0.015957149,0
368,29.05765417,-0.018277725,0
369,29.05765417,-0.016401698,0
370,29.05765417,-0.014081122,0
371,29.05765417,-0.011760545,0
372,29.05765417,-0.009439969,0
373,29.05765417,-0.007119392,0
374,29.05765417,-0.005315615,0
375,29.05765417,-0.003589828,0
376,29.05765417,-0.002368085,0
377,29.05765417,-0.001146343,0
378,29.05765417,0,0
379,29.05765417,0.001042546,0
380,29.05765417,0.002495429,0
381,29.05765417,0.004261633,0
382,29.05765417,0.006544734,0
383,29.05765417,0.008827836,0
384,29.05765417,0.011110937,0
385,29.05765417,0.013205961,0
386,29.05765417,0.01092286,0
387,29.05765417,0.008639759,0
388,29.05765417,0.006356657,0
389,29.05765417,0.004073556,0
390,29.05765417,0.002375744,0
391,29.05765417,0.000922861,0
392,29.05765417,-3.25235E-05,0
393,29.05765417,-0.00160648,0
394,29.05765417,-0.003473135,0
395,29.05765417,-0.005840795,0
396,29.05765417,-0.005791544,0
397,29.05765417,-0.003423883,0
398,29.05765417,-0.001573739,0
399,29.05765417,0,0
400,29.05765417,0.000611645,0
401,29.05765417,0.001653334,0
402,29.05765417,0.002695024,0
403,29.05765417,0.003736713,0
404,29.05765417,0.005210101,0
405,29.05765417,0.006711413,0
406,29.05765417,0.00888842,0
407,29.05765417,0.011162498,0
408,29.05765417,0.013436575,0
409,29.05765417,0.015710652,0
410,29.05765417,0.017984729,0
411,29.05765417,0.020258807,0
412,29.05765417,0.020067116,0
413,29.05765417,0.017793039,0
414,29.05765417,0.015518962,0
415,29.05765417,0.013244884,0
416,29.05765417,0.010970807,0
417,29.05765417,0.00869673,0
418,29.05765417,0.006584862,0
419,29.05765417,0.00508355,0
420,29.05765417,0.003648905,0
421,29.05765417,0.002607216,0
422,29.05765417,0.001565526,0
423,29.05765417,0.000523837,0
424,29.05765417,0,0
425,29.05765417,0,0
426,29.05765417,-0.000340008,0
427,29.05765417,-0.000685932,0
428,29.05765417,-0.001020361,0
429,29.05765417,-0.001241452,0
430,29.05765417,-0.001462542,0
431,29.05765417,-0.001683633,0
432,29.05765417,-0.001954522,0
433,29.05765417,-0.002229392,0
434,29.05765417,-0.002504261,0
435,29.05765417,-0.002779131,0
436,29.05765417,-0.003054001,0
437,29.05765417,-0.00332887,0
438,29.05765417,-0.00360374,0
439,29.05765417,-0.003886564,0
440,29.05765417,-0.004189248,0
441,29.05765417,-0.004491932,0
442,29.05765417,-0.004794616,0
443,29.05765417,-0.0050973,0
444,29.05765417,-0.005399984,0
445,29.05765417,-0.005702668,0
446,29.05765417,-0.006067544,0
447,29.05765417,-0.006461898,0
448,29.05765417,-0.006856252,0
449,29.05765417,-0.007250605,0
450,29.05765417,-0.007644959,0
451,29.05765417,-0.008159807,0
452,29.05765417,-0.008694201,0
453,29.05765417,-0.009228595,0
454,29.05765417,-0.009762988,0
455,29.05765417,-0.010297382,0
456,29.05765417,-0.010831776,0
457,29.05765417,-0.011489487,0
458,29.05765417,-0.012165247,0
459,29.05765417,-0.012841006,0
460,29.05765417,-0.01369135,0
461,29.05765417,-0.014558393,0
462,29.05765417,-0.015425436,0
463,29.05765417,-0.016292479,0
464,29.05765417,-0.017314344,0
465,29.05765417,-0.018421302,0
466,29.05765417,-0.019528261,0
467,29.05765417,-0.020635219,0
468,29.05765417,-0.021908201,0
469,29.05765417,-0.023552252,0
470,29.05765417,-0.025196304,0
471,29.05765417,-0.026903708,0
472,29.05765417,-0.028639096,0
473,29.05765417,-0.03032558,0
474,29.05765417,-0.031834342,0
475,29.05765417,-0.034068949,0
476,29.05765417,-0.03740503,0
