Index,Year,PowertrainNumber,PowertrainName,vehPtType,fuelStorSecsToPeakPwr,fuelStorKwhPerKg,fcEffType,engineMap,fcAbsEffImpr,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,motorPeakEff,motorSecsToPeakPwr,mcPeKgPerKw,mcPeBaseKg,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,essToFuelOkError,maxRegen,minFcTimeOn,idleFcKw,desired_ess_replacements,ess_cost_dol_per_kw,ess_cost_dol_per_kwh,ess_base_cost_dol,ess_cost_reduction_dol_per_yr,ess_salvage_value_dol,pe_mc_cost_dol_per_kw,pe_mc_base_cost_dol,fc_ice_cost_dol_per_kw,fc_ice_base_cost_dol,fc_fuelcell_cost_dol_per_kw,fs_cost_dol_per_kwh,fs_h2_cost_dol_per_kwh,plug_base_cost_dol,fc_cng_ice_cost_dol_per_kw,fs_cng_cost_dol_per_kwh,mcPwrOutPerc,largeBaselineEff,smallBaselineEff,modernMax,stopStart,fuel_type,CONV_maintDolPerMi,ADV_maintDolPerMi,gvwr_credit_kg
1,2020,1,Conv,1,1,9.875636446,5,"[0.05, 0.07, 0.12, 0.21, 0.26, 0.34, 0.38, 0.42, 0.45, 0.46, 0.46, 0.46]",0,6,0,0.2745,0.93,4,0.333333333,0,4.7,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.005,0.9,30,0,0,0,197,0,0,0,8,0,47.3,-0.45,190,0.07,36,0,55,7.467735503,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
2,2025,1,Conv,1,1,9.875636446,5,"[0.07, 0.09, 0.14, 0.23, 0.28, 0.36, 0.4, 0.44, 0.47, 0.48, 0.48, 0.48]",0,6,0,0.2745,0.939526407,4,0.266344418,0,4.03,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.876644661,0.005,0.9,30,0,0,0,170,0,0,0,6,0,47.3,11499.55,135,0.07,16,0,55,4.695593942,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
3,2030,1,Conv,1,1,9.875636446,5,"[0.1025, 0.1225, 0.1725, 0.2625, 0.3125, 0.3925, 0.4325, 0.4725, 0.5025, 0.5125, 0.5125, 0.5125]",0,6,0,0.2745,0.947677439,4,0.233992266,0,3.724,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.891223036,0.005,0.9,30,0,0,0,152,0,0,0,5.6,0,47.3,8999.55,120,0.07,14.4,0,55,4.520751209,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
4,2035,1,Conv,1,1,9.875636446,5,"[0.14, 0.16, 0.21, 0.3, 0.35, 0.43, 0.47, 0.51, 0.54, 0.55, 0.55, 0.55]",0,6,0,0.2745,0.95582847,4,0.201640113,0,3.418,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.90580141,0.005,0.9,30,0,0,0,134,0,0,0,5.2,0,47.3,6499.55,105,0.07,12.8,0,55,4.345908476,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
5,2040,1,Conv,1,1,9.875636446,5,"[0.1467, 0.1667, 0.2167, 0.3067, 0.3567, 0.4367, 0.4767, 0.5167, 0.5467, 0.5567, 0.5567, 0.5567]",0,6,0,0.2745,0.963979502,4,0.169287961,0,3.112,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.920379785,0.005,0.9,30,0,0,0,116,0,0,0,4.8,0,47.3,3999.55,90,0.07,11.2,0,55,4.171065743,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
6,2045,1,Conv,1,1,9.875636446,5,"[0.1533, 0.1733, 0.2233, 0.3133, 0.3633, 0.4433, 0.4833, 0.5233, 0.5533, 0.5633, 0.5633, 0.5633]",0,6,0,0.2745,0.972130534,4,0.136935809,0,2.806,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.93495816,0.005,0.9,30,0,0,0,98,0,0,0,4.4,0,47.3,1499.55,75,0.07,9.6,0,55,3.99622301,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
7,2050,1,Conv,1,1,9.875636446,5,"[0.16, 0.18, 0.23, 0.32, 0.37, 0.45, 0.49, 0.53, 0.56, 0.57, 0.57, 0.57]",0,6,0,0.2745,0.980281565,4,0.104583657,0,2.5,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.949536534,0.005,0.9,30,0,0,0,80,0,0,0,4,0,47.3,-1000.45,60,0.07,8,0,55,3.821380277,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
8,2020,2,CNG,1,1,4.2148,9,"[0.0, 0.03, 0.06, 0.18, 0.21, 0.24, 0.27, 0.3, 0.325, 0.335, 0.34, 0.34]",0,6,0,0.28,0.93,4,0.333333333,0,4.7,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.005,0.9,30,0,0,0,197,0,0,0,8,0,55,-0.45,190,7.467735503,36,0,55,7.467735503,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',CNG,0.38,0,0
9,2025,2,CNG,1,1,4.47,9,"[0.0, 0.03, 0.06, 0.18, 0.21, 0.24, 0.27, 0.3, 0.325, 0.335, 0.34, 0.34]",0,6,0,0.28,0.939526407,4,0.266344418,0,4.03,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.876644661,0.005,0.9,30,0,0,0,170,0,0,0,6,0,55,11499.55,135,4.695593942,16,0,55,4.695593942,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',CNG,0.38,0,0
10,2030,2,CNG,1,1,4.596,9,"[0., 0.03, 0.06, 0.18, 0.21, 0.24, 0.27, 0.3, 0.325, 0.335, 0.34, 0.34]",0,6,0,0.28,0.947677439,4,0.233992266,0,3.724,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.891223036,0.005,0.9,30,0,0,0,152,0,0,0,5.6,0,55,8999.55,120,4.520751209,14.4,0,55,4.520751209,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',CNG,0.38,0,0
