Region,Fuel,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Pacific,gasolineDolPerGal,3.069722209,3.086530987,3.149335121,3.191860271,3.234319895,3.265413474,3.310172144,3.361870727,3.382550831,3.419458424,3.445939114,3.905952725,3.926745854,3.94153759,4.04380724,4.069785223,4.101621485,4.131632187,4.150380173,4.186986739,4.222034206,4.24329647,4.271472039,4.320977264,4.352638953,4.378992691,4.404960727,4.442638731,4.473804801,4.513358847,4.544393116,4.578084905,4.637600008,4.697888808,4.758961363,4.820827861,4.883498623,4.946984105,5.011294898,5.076441732,5.142435474,5.209287136,5.277007868,5.345608971,5.415101887,5.485498212,5.556809689,5.629048215,5.702225841,5.776354777,5.851447389,5.927516205,6.004573916,6.082633377,6.161707611,6.24180981,6.322953337,6.405151731,6.488418703,6.572768146,6.658214132,6.744770916,6.832452938,6.921274826,7.011251399,7.102397667,7.194728837,7.288260312,7.383007696,7.478986796,7.576213624,7.674704401,7.774475558,7.875543741,7.977925809,8.081638845,8.18670015,8.293127252,8.400937906,8.510150099,8.62078205,8.732852217
Pacific,dieselDolPerGal,3.243445751,3.251054873,3.382408693,3.528446757,3.651060536,3.807813356,3.927696825,3.995680912,4.009688691,4.065603033,4.101343249,4.521756311,4.558743947,4.579287352,4.687445902,4.709592956,4.737764716,4.776970093,4.805358778,4.835536163,4.862689106,4.862680176,4.873186251,4.934654494,4.953993617,4.982061655,5.033124661,5.030281012,5.071288691,5.098808029,5.121131205,5.144641353,5.221810973,5.300138137,5.379640209,5.460334813,5.542239835,5.625373432,5.709754034,5.795400344,5.882331349,5.97056632,6.060124815,6.151026687,6.243292087,6.336941468,6.43199559,6.528475524,6.626402657,6.725798697,6.826685677,6.929085963,7.033022252,7.138517586,7.24559535,7.35427928,7.464593469,7.576562371,7.690210807,7.805563969,7.922647428,8.04148714,8.162109447,8.284541088,8.408809205,8.534941343,8.662965463,8.792909945,8.924803594,9.058675648,9.194555783,9.332474119,9.472461231,9.61454815,9.758766372,9.905147868,10.05372509,10.20453096,10.35759893,10.51296291,10.67065735,10.83071721
Pacific,CNGDolPerGge,2.035133231,1.971391229,1.845780418,1.801504832,1.822917671,1.810365148,1.823601055,1.834954245,1.834601999,1.822735306,1.800229567,2.153267354,2.124395715,2.108736174,2.153293608,2.146426303,2.134144303,2.117576286,2.116551209,2.111846925,2.103013506,2.093048063,2.084490958,2.074735421,2.070778869,2.068572349,2.067092197,2.067146894,2.072669309,2.075536435,2.079184111,2.08436921,2.086453579,2.088540033,2.090628573,2.092719201,2.09481192,2.096906732,2.099003639,2.101102643,2.103203745,2.105306949,2.107412256,2.109519668,2.111629188,2.113740817,2.115854558,2.117970413,2.120088383,2.122208471,2.12433068,2.126455011,2.128581466,2.130710047,2.132840757,2.134973598,2.137108571,2.13924568,2.141384926,2.143526311,2.145669837,2.147815507,2.149963322,2.152113286,2.154265399,2.156419664,2.158576084,2.16073466,2.162895395,2.16505829,2.167223348,2.169390572,2.171559962,2.173731522,2.175905254,2.178081159,2.18025924,2.182439499,2.184621939,2.186806561,2.188993367,2.191182361
Pacific,dolPerKwh,0.150672214,0.156410908,0.151477968,0.152424341,0.157182143,0.157716622,0.160894392,0.165551502,0.166433204,0.166785879,0.166642172,0.168101706,0.17022279,0.170000027,0.169805519,0.17001156,0.168847535,0.167110425,0.166457958,0.165650215,0.164498935,0.163526515,0.162721866,0.16236594,0.161658025,0.160917495,0.160790916,0.160988795,0.160924186,0.16110625,0.160870938,0.160227281,0.160547736,0.160868831,0.161190569,0.16151295,0.161835976,0.162159648,0.162483967,0.162808935,0.163134553,0.163460822,0.163787744,0.164115319,0.16444355,0.164772437,0.165101982,0.165432186,0.16576305,0.166094576,0.166426765,0.166759619,0.167093138,0.167427324,0.167762179,0.168097703,0.168433899,0.168770767,0.169108308,0.169446525,0.169785418,0.170124989,0.170465239,0.170806169,0.171147781,0.171490077,0.171833057,0.172176723,0.172521077,0.172866119,0.173211851,0.173558275,0.173905391,0.174253202,0.174601709,0.174950912,0.175300814,0.175651415,0.176002718,0.176354724,0.176707433,0.177060848
Pacific,hydrogenDolPerGGE,10.6,10,9.4,8.8,8.2,7.6,7,6.88,6.76,6.64,6.52,6.4,6.28,6.16,6.04,5.92,5.8,5.68,5.56,5.44,5.32,5.2,5.08,4.96,4.84,4.72,4.6,4.48,4.36,4.24,4.12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Mountain,gasolineDolPerGal,2.726837375,2.682777123,2.669270939,2.654259869,2.625576869,2.568933657,2.595847175,2.613900597,2.652008569,2.662933081,2.702629123,2.737765991,2.75987613,2.789505481,2.84055675,2.891643082,2.929724072,2.967243667,2.977541133,3.012140106,3.056067563,3.066199656,3.089262115,3.139283102,3.165494969,3.191915727,3.235352663,3.244276793,3.306140419,3.344979511,3.377144528,3.402597547,3.42641573,3.45040064,3.474553445,3.498875319,3.523367446,3.548031018,3.572867235,3.597877306,3.623062447,3.648423884,3.673962852,3.699680592,3.725578356,3.751657404,3.777919006,3.804364439,3.83099499,3.857811955,3.884816639,3.912010355,3.939394428,3.966970189,3.99473898,4.022702153,4.050861068,4.079217095,4.107771615,4.136526016,4.165481699,4.19464007,4.224002551,4.253570569,4.283345563,4.313328982,4.343522285,4.373926941,4.404544429,4.43537624,4.466423874,4.497688841,4.529172663,4.560876871,4.59280301,4.624952631,4.657327299,4.68992859,4.72275809,4.755817397,4.789108119,4.822631876
Mountain,dieselDolPerGal,3.072332083,2.942515556,2.942233512,2.966334811,2.965090002,2.996862792,2.988484063,3.047476426,3.054929482,3.100653451,3.130638503,3.148011017,3.184551615,3.209649201,3.252512622,3.281280753,3.310786483,3.344663538,3.367366848,3.39656924,3.427207126,3.427580803,3.451830472,3.502873009,3.525141095,3.554633774,3.603937479,3.606576156,3.640135037,3.672541841,3.695879851,3.717085845,3.73938836,3.76182469,3.784395638,3.807102012,3.829944624,3.852924292,3.876041837,3.899298088,3.922693877,3.94623004,3.96990742,3.993726865,4.017689226,4.041795361,4.066046134,4.09044241,4.114985065,4.139674975,4.164513025,4.189500103,4.214637104,4.239924927,4.265364476,4.290956663,4.316702403,4.342602617,4.368658233,4.394870182,4.421239404,4.44776684,4.474453441,4.501300162,4.528307963,4.55547781,4.582810677,4.610307541,4.637969387,4.665797203,4.693791986,4.721954738,4.750286466,4.778788185,4.807460914,4.83630568,4.865323514,4.894515455,4.923882548,4.953425843,4.983146398,5.013045277
Mountain,CNGDolPerGge,1.686393173,1.644044319,1.632912618,1.601914765,1.572994736,1.548691477,1.530444985,1.502410653,1.467981851,1.429135503,1.381500523,1.337833033,1.300468252,1.279114356,1.268454975,1.260792705,1.251940496,1.242809271,1.246442534,1.246287067,1.245907924,1.243036036,1.241558588,1.242358572,1.245096743,1.248107366,1.253019497,1.260110093,1.270833951,1.278390303,1.285433152,1.295619955,1.285254995,1.274972955,1.264773172,1.254654986,1.244617747,1.234660805,1.224783518,1.21498525,1.205265368,1.195623245,1.186058259,1.176569793,1.167157235,1.157819977,1.148557417,1.139368958,1.130254006,1.121211974,1.112242278,1.10334434,1.094517585,1.085761445,1.077075353,1.06845875,1.05991108,1.051431791,1.043020337,1.034676174,1.026398765,1.018187575,1.010042074,1.001961738,0.993946044,0.985994475,0.97810652,0.970281668,0.962519414,0.954819259,0.947180705,0.939603259,0.932086433,0.924629742,0.917232704,0.909894842,0.902615683,0.895394758,0.8882316,0.881125747,0.874076741,0.867084127
Mountain,dolPerKwh,0.107094662,0.11044443,0.10786374,0.107566463,0.109148317,0.108970354,0.109316891,0.109758618,0.109481919,0.107995826,0.107282134,0.106459269,0.104986837,0.104585231,0.104320627,0.104586344,0.104368389,0.104054662,0.103509759,0.102908001,0.101817765,0.101375014,0.100758687,0.100236371,0.099217712,0.098825035,0.098381874,0.097759481,0.096904853,0.096367511,0.095684081,0.094934485,0.094554747,0.094176528,0.093799822,0.093424623,0.093050924,0.09267872,0.092308005,0.091938773,0.091571018,0.091204734,0.090839915,0.090476556,0.090114649,0.089754191,0.089395174,0.089037593,0.088681443,0.088326717,0.08797341,0.087621517,0.087271031,0.086921947,0.086574259,0.086227962,0.08588305,0.085539518,0.08519736,0.08485657,0.084517144,0.084179075,0.083842359,0.08350699,0.083172962,0.08284027,0.082508909,0.082178873,0.081850158,0.081522757,0.081196666,0.080871879,0.080548392,0.080226198,0.079905293,0.079585672,0.07926733,0.07895026,0.078634459,0.078319921,0.078006642,0.077694615
Mountain,hydrogenDolPerGGE,10.6,10,9.4,8.8,8.2,7.6,7,6.88,6.76,6.64,6.52,6.4,6.28,6.16,6.04,5.92,5.8,5.68,5.56,5.44,5.32,5.2,5.08,4.96,4.84,4.72,4.6,4.48,4.36,4.24,4.12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
