name,MDHD_large_noprogram_2020,MDHD_large_noprogram_2025,MDHD_large_noprogram_2030,MDHD_large_noprogram_2040,MDHD_large_noprogram_2050,MDHD_large_programsuccess_2020,MDHD_large_programsuccess_2025,MDHD_large_programsuccess_2030,MDHD_large_programsuccess_2040,MDHD_large_programsuccess_2050,MDHD_medium_noprogram_2020,MDHD_medium_noprogram_2025,MDHD_medium_noprogram_2030,MDHD_medium_noprogram_2040,MDHD_medium_noprogram_2050,MDHD_medium_programsuccess_2020,MDHD_medium_programsuccess_2025,MDHD_medium_programsuccess_2030,MDHD_medium_programsuccess_2040,MDHD_medium_programsuccess_2050,MDHD_small_noprogram_2020,MDHD_small_noprogram_2025,MDHD_small_noprogram_2030,MDHD_small_noprogram_2040,MDHD_small_noprogram_2050,MDHD_small_programsuccess_2020,MDHD_small_programsuccess_2025,MDHD_small_programsuccess_2030,MDHD_small_programsuccess_2040,MDHD_small_programsuccess_2050,MDHD_large_noprogram_2035,MDHD_large_programsuccess_2035,MDHD_medium_noprogram_2035,MDHD_medium_programsuccess_2035,MDHD_small_noprogram_2035,MDHD_small_programsuccess_2035
eng_cost,"[0,0.35,6,13.25,14.15,30.7,39.8]","[0,0.35,7.35,25.65,32.45]","[0,0.35,7.35,22.0166666666667,28.5166666666667]","[0,0.35,7.35,14.75,20.65]","[0,0.35,7.35,11.0625,15.4875]","[0,0.35,6,13.25,14.15,30.7,39.8]","[0,0.35,7.35,22.0166666666667,28.5166666666667]","[0,0.35,7.35,14.75,20.65]","[0,0.35,7.35,12.90625,18.06875]","[0,0.35,7.35,9.6796875,13.5515625]","[0,0.35,6,13.25,14.15,30.7,39.8]","[0,0.35,7.35,25.65,32.45]","[0,0.35,7.35,22.0166666666667,28.5166666666667]","[0,0.35,7.35,14.75,20.65]","[0,0.35,7.35,11.0625,15.4875]","[0,0.35,6,13.25,14.15,30.7,39.8]","[0,0.35,7.35,22.0166666666667,28.5166666666667]","[0,0.35,7.35,14.75,20.65]","[0,0.35,7.35,12.90625,18.06875]","[0,0.35,7.35,9.6796875,13.5515625]","[0,0.375,2.95833333333333,7.31666666666667,8.86666666666667]","[0,0.375,2.875,7.25,8.75]","[0,0.375,2.79166666666667,7.18333333333333,8.63333333333333]","[0,0.375,2.625,7.05,8.4,38.75,40.625]","[0,0.375,2.49375,6.6975,7.98,31,32.5]","[0,0.375,2.95833333333333,7.31666666666667,8.86666666666667]","[0,0.375,2.79166666666667,7.18333333333333,8.63333333333333]","[0,0.375,2.625,7.05,8.4]","[0,0.375,2.4346875,6.538875,7.791,31,32.5]","[0,0.3375,2.244375,6.02775,7.182,23.25,24.375]","[0,0.35,7.35,18.3833333333333,24.5833333333333]","[0,0.35,7.35,13.828125,19.359375]","[0,0.35,7.35,18.3833333333333,24.5833333333333]","[0,0.35,7.35,13.828125,19.359375]","[0,0.375,2.70833333333333,7.11666666666667,8.51666666666667]","[0,0.375,2.52984375,6.7944375,8.0955]"
eng_pctpt,"[0.45,0.49,0.52,0.52,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.45,0.49,0.52,0.52,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.42,0.46,0.49,0.49,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.42,0.46,0.49,0.49,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.4,0.435,0.45,0.459,0.468]","[0.4,0.435,0.45,0.459,0.468]","[0.4,0.435,0.45,0.459,0.468]","[0.4,0.435,0.45,0.459,0.468,0.474,0.525]","[0.4,0.435,0.45,0.459,0.468,0.474,0.525]","[0.4,0.435,0.45,0.459,0.468]","[0.4,0.435,0.45,0.459,0.468]","[0.4,0.435,0.45,0.459,0.468]","[0.4,0.435,0.45,0.459,0.468,0.474,0.525]","[0.4,0.435,0.45,0.459,0.468,0.474,0.525]","[0.45,0.49,0.53,0.53,0.59]","[0.45,0.49,0.53,0.53,0.59]","[0.42,0.46,0.5,0.5,0.56]","[0.42,0.46,0.5,0.5,0.56]","[0.4,0.435,0.45,0.459,0.468]","[0.4,0.435,0.45,0.459,0.468]"
fc_peak_eff_knob_max,0.481405,0.492,0.500625,0.52,0.54,0.481405,0.508666666666667,0.53875,0.576666666666667,0.59,0.444583313253012,0.462120481927711,0.475022590361446,0.497510040160643,0.520722891566265,0.444583313253012,0.477180722891566,0.50441265060241,0.536506024096385,0.556265060240964,0.405,0.43,0.4475,0.473333333333333,0.5,0.405,0.443333333333333,0.4675,0.493333333333333,0.52,0.5103125,0.557708333333333,0.486266315261044,0.520459337349398,0.460416666666667,0.480416666666667
fc_peak_eff_knob_min,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.45,0.42,0.42,0.4,0.4
