,vehicle_distance_bins_mi,p_of_distances,p_of_distances_normalized,expected_distance
0,1.253446842,0.008676414,0.428620737,0.53725331
1,1.430849292,0.008791636,0.434312807,0.621436173
2,1.608251742,0.008904327,0.439879805,0.707437463
3,1.785654193,0.00901437,0.445315995,0.795180373
4,1.963056643,0.009121652,0.450615818,0.884584374
5,2.140459093,0.009226065,0.455773905,0.975565398
6,2.317861543,0.009327505,0.460785091,1.068036043
7,2.495263993,0.009425871,0.46564443,1.16190578
8,2.672666444,0.009521067,0.4703472,1.257081178
9,2.850068894,0.009613004,0.474888922,1.353466144
10,3.027471344,0.009701594,0.479265366,1.450962161
11,3.204873794,0.009786759,0.483472565,1.549468553
12,3.382276244,0.009868423,0.487506821,1.648882741
13,3.559678695,0.009946517,0.491364719,1.749100523
14,3.737081145,0.010020978,0.49504313,1.850016348
15,3.914483595,0.010091748,0.498539222,1.951523605
16,4.091886045,0.010158776,0.501850465,2.053514914
17,4.269288496,0.010222018,0.504974639,2.155882418
18,4.446690946,0.010281434,0.507909839,2.258518081
19,4.624093396,0.010336993,0.510654476,2.361313991
20,4.801495846,0.010388668,0.513207286,2.464162654
21,4.978898296,0.010436442,0.515567329,2.566957297
22,5.156300747,0.010480301,0.517733991,2.669592165
23,5.333703197,0.010520239,0.519706987,2.771962816
24,5.511105647,0.010556259,0.521486358,2.873966411
25,5.688508097,0.010588366,0.523072473,2.975502001
26,5.865910547,0.010616575,0.524466028,3.076470805
27,6.043312998,0.010640907,0.525668038,3.176776488
28,6.220715448,0.010661388,0.52667984,3.276325418
29,6.398117898,0.010678053,0.527503085,3.375026926
30,6.575520348,0.01069094,0.528139732,3.472793553
31,6.752922798,0.010700096,0.528592046,3.569541278
32,6.930325249,0.010705573,0.528862588,3.665189744
33,7.107727699,0.010707428,0.528954207,3.759662467
34,7.285130149,0.010705724,0.528870034,3.85288703
35,7.462532599,0.01070053,0.528613472,3.944795264
36,7.639935049,0.010691921,0.528188183,4.035323415
37,7.8173375,0.010679976,0.527598085,4.124412293
38,7.99473995,0.010664779,0.526847331,4.212007405
39,8.1721424,0.010646418,0.525940306,4.298059076
40,8.34954485,0.010624987,0.52488161,4.382522543
41,8.526947301,0.010600584,0.523676046,4.465358043
42,8.704349751,0.010573308,0.522328606,4.546530874
43,8.881752201,0.010543265,0.520844461,4.626011442
44,9.059154651,0.010510563,0.519228943,4.703775292
45,9.236557101,0.010475312,0.51748753,4.779803116
46,9.413959552,0.010437626,0.515625834,4.854080746
47,9.591362002,0.010397622,0.513649587,4.926599127
48,9.768764452,0.010355416,0.51156462,4.997354276
49,9.946166902,0.01031113,0.509376855,5.066347219
50,10.12356935,0.010264885,0.507092285,5.133583914
51,10.3009718,0.010216802,0.504716958,5.199075152
52,10.47837425,0.010167005,0.502256965,5.26283645
53,10.6557767,0.010115618,0.499718422,5.324887922
54,10.83317915,0.010062765,0.497107456,5.385254133
55,11.0105816,0.01000857,0.494430189,5.443963944
56,11.18798405,0.009953157,0.491692723,5.501050343
57,11.3653865,0.009896648,0.488901126,5.556550255
58,11.54278895,0.009839164,0.486061416,5.610504348
59,11.7201914,0.009780828,0.483179551,5.662956825
60,11.89759385,0.009721757,0.48026141,5.713955202
61,12.0749963,0.009662069,0.477312782,5.763550084
62,12.25239875,0.009601879,0.474339355,5.811794922
63,12.42980121,0.0095413,0.471346699,5.85874577
64,12.60720366,0.009480441,0.46834026,5.904461037
65,12.78460611,0.009419412,0.465325343,5.949001224
66,12.96200856,0.009358315,0.462307106,5.992428663
67,13.13941101,0.009297251,0.459290546,6.034807257
68,13.31681346,0.00923632,0.456280493,6.076202204
69,13.49421591,0.009175614,0.453281597,6.116679736
70,13.67161836,0.009115225,0.450298325,6.156306844
71,13.84902081,0.009055239,0.447334949,6.195151016
72,14.02642326,0.008995737,0.444395542,6.233279962
73,14.20382571,0.008936799,0.44148397,6.27076136
74,14.38122816,0.008878499,0.438603889,6.307662593
75,14.55863061,0.008820906,0.435758738,6.344050493
76,14.73603306,0.008764084,0.432951736,6.379991098
77,14.91343551,0.008708096,0.430185882,6.415549406
78,15.09083796,0.008652997,0.427463946,6.450789147
79,15.26824041,0.008598839,0.424788475,6.485772555
80,15.44564286,0.008545667,0.422161785,6.520560156
81,15.62304531,0.008493526,0.419585966,6.555210564
82,15.80044776,0.008442452,0.417062882,6.589780286
83,15.97785021,0.008392479,0.41459417,6.624323543
84,16.15525266,0.008343635,0.412181242,6.658892098
85,16.33265511,0.008295944,0.409825289,6.693535107
86,16.51005756,0.008249427,0.407527287,6.728298969
87,16.68746001,0.008204097,0.405287995,6.763227202
88,16.86486246,0.008159968,0.403107962,6.798360329
89,17.04226491,0.008117045,0.400987534,6.833735776
90,17.21966736,0.008075331,0.398926858,6.869387789
91,17.39706981,0.008034826,0.396925887,6.905347366
92,17.57447226,0.007995525,0.39498439,6.941642198
93,17.75187471,0.00795742,0.393101954,6.978296633
94,17.92927716,0.007920498,0.391277997,7.015331652
95,18.10667961,0.007884745,0.389511772,7.052764857
96,18.28408206,0.007850142,0.387802377,7.090610478
97,18.46148451,0.007816669,0.386148762,7.128879393
98,18.63888696,0.0077843,0.384549742,7.167579165
99,18.81628941,0.007753011,0.383003999,7.206714085
100,18.99369186,0.00772277,0.381510098,7.246285239
101,19.17109431,0.007693548,0.380066493,7.286290583
102,19.34849676,0.00766531,0.378671538,7.326725029
103,19.52589921,0.007638022,0.377323495,7.367580544
104,19.70330166,0.007611647,0.376020547,7.408846266
105,19.88070411,0.007586147,0.374760802,7.450508623
106,20.05810656,0.007561481,0.37354231,7.492551467
107,20.23550901,0.00753761,0.372363068,7.534956213
108,20.41291146,0.007514492,0.371221029,7.577701995
109,20.59031391,0.007492085,0.370114115,7.620765819
110,20.76771636,0.007470347,0.369040226,7.66412273
111,20.94511882,0.007449234,0.367997243,7.707745988
112,21.12252127,0.007428704,0.366983048,7.751607237
113,21.29992372,0.007408714,0.365995522,7.795676693
114,21.47732617,0.007389221,0.365032559,7.839923325
115,21.65472862,0.007370183,0.364092074,7.884315046
116,21.83213107,0.007351559,0.363172009,7.9288189
117,22.00953352,0.007333307,0.362270343,7.973401252
118,22.18693597,0.007315387,0.361385096,8.018027982
119,22.36433842,0.007297761,0.360514339,8.062664671
120,22.54174087,0.00728039,0.359656197,8.10727679
121,22.71914332,0.007263237,0.358808859,8.151829889
122,22.89654577,0.007246268,0.35797058,8.196289776
123,23.07394822,0.007229449,0.357139689,8.240622694
124,23.25135067,0.007212747,0.356314591,8.284795501
125,23.42875312,0.007196131,0.355493773,8.328775833
126,23.60615557,0.007179573,0.354675807,8.372532269
127,23.78355802,0.007163046,0.353859354,8.416034486
128,23.96096047,0.007146524,0.353043169,8.459253407
129,24.13836292,0.007129985,0.352226096,8.502161344
130,24.31576537,0.007113406,0.351407081,8.544732128
131,24.49316782,0.007096768,0.350585163,8.586941234
132,24.67057027,0.007080054,0.349759483,8.628765897
133,24.84797272,0.007063248,0.348929279,8.670185217
134,25.02537517,0.007046338,0.348093892,8.711180252
135,25.20277762,0.007029311,0.347252761,8.751734111
136,25.38018007,0.007012159,0.346405423,8.791832021
137,25.55758252,0.006994874,0.345551517,8.831461402
138,25.73498497,0.00697745,0.344690775,8.870611919
139,25.91238742,0.006959884,0.343823029,8.909275526
140,26.08978987,0.006942176,0.342948201,8.947446504
141,26.26719232,0.006924324,0.342066308,8.985121489
142,26.44459477,0.006906331,0.341177453,9.022299483
143,26.62199722,0.006888201,0.340281827,9.058981864
144,26.79939967,0.00686994,0.339379706,9.09517238
145,26.97680212,0.006851554,0.338471443,9.130877141
146,27.15420457,0.006833053,0.33755747,9.166104595
147,27.33160702,0.006814446,0.336638292,9.200865497
148,27.50900947,0.006795746,0.335714482,9.235172876
149,27.68641192,0.006776965,0.334786682,9.269041987
150,27.86381437,0.006758117,0.333855593,9.302490259
151,28.04121682,0.006739218,0.332921973,9.335537236
152,28.21861927,0.006720285,0.331986637,9.368204514
153,28.39602172,0.006701334,0.331050446,9.400515668
154,28.57342417,0.006682384,0.330114309,9.432496176
155,28.75082662,0.006663454,0.329179173,9.464173339
156,28.92822907,0.006644565,0.328246025,9.495576199
157,29.10563152,0.006625736,0.327315882,9.526735446
158,29.28303397,0.00660699,0.326389791,9.557683332
159,29.46043643,0.006588347,0.325468823,9.588453573
160,29.63783888,0.00656983,0.324554071,9.619081256
161,29.81524133,0.006551461,0.323646642,9.649602744
162,29.99264378,0.006533263,0.322747659,9.680055574
163,30.17004623,0.006515259,0.321858253,9.710478363
164,30.34744868,0.006497472,0.32097956,9.740910709
165,30.52485113,0.006479925,0.320112719,9.771393092
166,30.70225358,0.006462641,0.31925887,9.80196678
167,30.87965603,0.006445643,0.318419147,9.832673732
168,31.05705848,0.006428954,0.317594679,9.863556509
169,31.23446093,0.006412596,0.316786584,9.894658176
170,31.41186338,0.006396591,0.31599597,9.926022222
171,31.58926583,0.006380963,0.315223928,9.957692466
172,31.76666828,0.006365733,0.314471536,9.989712978
173,31.94407073,0.006350922,0.313739851,10.022128
174,32.12147318,0.006336551,0.31302991,10.05498187
175,32.29887563,0.00632264,0.312342728,10.08831894
176,32.47627808,0.006309211,0.311679297,10.12218352
177,32.65368053,0.006296281,0.311040582,10.15661981
178,32.83108298,0.006283871,0.310427525,10.19167182
179,33.00848543,0.006271999,0.309841036,10.22738333
180,33.18588788,0.006260683,0.309282002,10.26379785
181,33.36329033,0.00624994,0.308751277,10.30095851
182,33.54069278,0.006239786,0.308249688,10.33890809
183,33.71809523,0.006230239,0.307778029,10.3776889
184,33.89549768,0.006221312,0.307337066,10.41734282
185,34.07290013,0.006213022,0.306927533,10.45791117
186,34.25030258,0.006205383,0.306550131,10.49943475
187,34.42770503,0.006198407,0.306205533,10.54195377
188,34.60510748,0.006192109,0.305894378,10.58550784
189,34.78250993,0.006186499,0.305617275,10.63013592
190,34.95991238,0.006181591,0.305374801,10.67587629
191,35.13731483,0.006177395,0.305167501,10.72276657
192,35.31471728,0.006173921,0.304995891,10.77084366
193,35.49211973,0.006171179,0.304860453,10.8201437
194,35.66952218,0.006169179,0.304761641,10.87070211
195,35.84692463,0.006167929,0.304699876,10.9225535
196,36.02432708,0.006167436,0.304675551,10.97573171
197,36.20172953,0.006167709,0.304689027,11.03026973
198,36.37913198,0.006168754,0.304740634,11.08619975
199,36.55653443,0.006170576,0.304830675,11.14355307
200,36.73393688,0.006173183,0.304959421,11.20236012
201,36.91133933,0.006176577,0.305127113,11.26265043
202,37.08874178,0.006180764,0.305333965,11.32445257
203,37.26614423,0.006185748,0.305580157,11.3877942
204,37.44354668,0.006191531,0.305865843,11.45270197
205,37.62094913,0.006198116,0.306191145,11.5192015
206,37.79835158,0.006205505,0.306556157,11.58731741
207,37.97575404,0.006213699,0.306960941,11.65707319
208,38.15315649,0.006222698,0.307405529,11.72849127
209,38.33055894,0.006232504,0.307889924,11.80159288
210,38.50796139,0.006243114,0.308414096,11.8763981
211,38.68536384,0.006254529,0.308977984,11.95292573
212,38.86276629,0.006266746,0.309581496,12.03119333
213,39.04016874,0.006279762,0.310224507,12.11121711
214,39.21757119,0.006293574,0.31090686,12.19301191
215,39.39497364,0.00630818,0.311628363,12.27659113
216,39.57237609,0.006323573,0.312388791,12.36196672
217,39.74977854,0.006339748,0.313187884,12.44914905
218,39.92718099,0.006356701,0.314025348,12.5381469
219,40.10458344,0.006374423,0.31490085,12.62896742
