,vehicle_weights_bins_kg,p_of_weights
0,9071.858188712795,2.2249130768322033e-07
1,9116.808837395605,2.229449081804814e-07
2,9161.759486078417,2.22807556016338e-07
3,9206.710134761228,2.221011828524407e-07
4,9251.66078344404,2.2085509115738766e-07
5,9296.61143212685,2.1910565373891098e-07
6,9341.562080809661,2.1689589823168195e-07
7,9386.512729492473,2.14274983389066e-07
8,9431.463378175284,2.1129757618658057e-07
9,9476.414026858096,2.0802314068372697e-07
10,9521.364675540906,2.0451515126741227e-07
11,9566.315324223717,2.0084024428141582e-07
12,9611.265972906529,1.9706732310903424e-07
13,9656.21662158934,1.9326663250658118e-07
14,9701.167270272152,1.8950881837984955e-07
15,9746.117918954962,1.8586398925885535e-07
16,9791.068567637773,1.824007954710651e-07
17,9836.019216320585,1.7918554145956183e-07
18,9880.969865003395,1.7628134586537544e-07
19,9925.920513686207,1.7374736292165178e-07
20,9970.871162369018,1.7163807742324675e-07
21,10015.821811051828,1.7000268407167165e-07
22,10060.77245973464,1.6888456038517607e-07
23,10105.723108417451,1.683208406392316e-07
24,10150.673757100263,1.6834209649428128e-07
25,10195.624405783074,1.689721281037169e-07
26,10240.575054465884,1.7022786760180002e-07
27,10285.525703148696,1.7211939497263666e-07
28,10330.476351831507,1.7465006441949705e-07
29,10375.427000514319,1.7781673750959454e-07
30,10420.37764919713,1.8161011758294038e-07
31,10465.32829787994,1.8601517820511046e-07
32,10510.278946562752,1.9101167683309069e-07
33,10555.229595245562,1.965747433723095e-07
34,10600.180243928373,2.0267553195412166e-07
35,10645.130892611185,2.092819230804027e-07
36,10690.081541293996,2.163592622906177e-07
37,10735.032189976808,2.2387112073243894e-07
38,10779.982838659618,2.3178006248517932e-07
39,10824.933487342429,2.400484032203202e-07
40,10869.88413602524,2.486389448070115e-07
41,10914.834784708051,2.575156708005867e-07
42,10959.785433390862,2.666443884014968e-07
43,11004.736082073674,2.7599330344644903e-07
44,11049.686730756484,2.8553351629073415e-07
45,11094.637379439297,2.952394280493497e-07
46,11139.588028122107,3.0508904856314904e-07
47,11184.538676804917,3.1506419961319987e-07
48,11229.48932548773,3.2515060927969166e-07
49,11274.43997417054,3.35337895879323e-07
50,11319.390622853352,3.456194425565097e-07
51,11364.341271536163,3.5599216628123746e-07
52,11409.291920218973,3.66456187647003e-07
53,11454.242568901785,3.770144103901656e-07
54,11499.193217584596,3.8767202189130477e-07
55,11544.143866267408,3.984359279965314e-07
56,11589.094514950219,4.0931413724446025e-07
57,11634.045163633029,4.203151109436175e-07
58,11678.995812315841,4.3144709646715854e-07
59,11723.946460998652,4.427174615822216e-07
60,11768.897109681464,4.5413204759032957e-07
61,11813.847758364274,4.656945585196281e-07
62,11858.798407047085,4.774060025931036e-07
63,11903.749055729897,4.892642007296191e-07
64,11948.699704412707,5.012633749629809e-07
65,11993.65035309552,5.133938274491146e-07
66,12038.60100177833,5.256417182457054e-07
67,12083.55165046114,5.379889473746984e-07
68,12128.502299143953,5.504131439046655e-07
69,12173.452947826763,5.628877620083831e-07
70,12218.403596509575,5.753822812517602e-07
71,12263.354245192386,5.878625058391831e-07
72,12308.304893875196,6.002909552555421e-07
73,12353.255542558009,6.126273367732119e-07
74,12398.206191240819,6.248290886863512e-07
75,12443.156839923631,6.368519819322902e-07
76,12488.107488606442,6.486507669806836e-07
77,12533.058137289252,6.601798525185888e-07
78,12578.008785972064,6.713940025188592e-07
79,12622.959434654875,6.82249038719926e-07
80,12667.910083337687,6.927025363218611e-07
81,12712.860732020497,7.027145017598078e-07
82,12757.811380703308,7.122480226852626e-07
83,12802.762029386118,7.212698816967653e-07
84,12847.71267806893,7.297511268401687e-07
85,12892.663326751743,7.376675933725566e-07
86,12937.613975434553,7.450003726851024e-07
87,12982.564624117364,7.517362255489279e-07
88,13027.515272800174,7.578679379348997e-07
89,13072.465921482986,7.633946185268267e-07
90,13117.416570165798,7.683219376746766e-07
91,13162.367218848609,7.726623079127156e-07
92,13207.31786753142,7.764350063035171e-07
93,13252.26851621423,7.796662387835942e-07
94,13297.219164897042,7.823891464134276e-07
95,13342.169813579854,7.846437530181001e-07
96,13387.120462262665,7.864768531967173e-07
97,13432.071110945475,7.879418391373109e-07
98,13477.021759628286,7.890984641588607e-07
99,13521.972408311098,7.900125404731368e-07
100,13566.92305699391,7.907555683724066e-07
101,13611.87370567672,7.914042939544458e-07
102,13656.82435435953,7.920401926352931e-07
103,13701.775003042341,7.927488761037324e-07
