name,MDHD_noprogram_2020,MDHD_noprogram_2025,MDHD_noprogram_2030,MDHD_noprogram_2040,MDHD_noprogram_2050,MDHD_programsuccess_2020,MDHD_programsuccess_2025,MDHD_programsuccess_2030,MDHD_programsuccess_2040,MDHD_programsuccess_2050,MDHD_noprogram_2035,MDHD_programsuccess_2035
ltwt_cost,"[1.5,2.5,11,13,29,35]","[1.5,2.5,10,12,27,33]","[1.5,2.5,10,12,26,32]","[1.5,2.5,9.5,11.5,24,30]","[1.5,2.5,9,11,23,29]","[1.5,2.5,11,13,29,35]","[1.5,2.5,10,12,26,32]","[1.25,2.25,9.5,12,22.5,28.5]","[1,2,6.5,11,16,22]","[1,2,4,10,13,19]","[1.5,2.5,9.75,11.75,25,31]","[1.125,2.125,8,11.5,19.25,25.25]"
ltwt_pct,"[0,0.03,0.03,0.05,0.05,0.1]","[0,0.04,0.04,0.06,0.06,0.11]","[0,0.05,0.05,0.07,0.07,0.12]","[0,0.06,0.06,0.08,0.08,0.13]","[0,0.07,0.07,0.09,0.09,0.14]","[0,0.03,0.03,0.05,0.05,0.1]","[0,0.06,0.06,0.12,0.12,0.2]","[0,0.1,0.1,0.2,0.2,0.3]","[0,0.1,0.1,0.2,0.2,0.32]","[0,0.1,0.1,0.2,0.2,0.32]","[0,0.055,0.055,0.075,0.075,0.125]","[0,0.1,0.1,0.2,0.2,0.31]"
wt_delta_perc_knob_max,0.1,0.11,0.12,0.13,0.14,0.1,0.2,0.3,0.32,0.32,0.125,0.31
wt_delta_perc_knob_min,0,0,0,0,0,0,0,0,0,0,0,0
