Index,vocation,segment_name,region,Year,MinRangeMiles,rangeDriveCycleFilePath,cargoKg,gvwr_kg,min_speed_at_6pct_grade_in_5min_mph,min_speed_at_1p25pct_grade_in_5min_mph,max_time_0_to_60mph_at_gvwr_s,max_time_0_to_30mph_at_gvwr_s,TakeOffPowerRatingkW,TakeOffPowerAverageUsekW,TakeOffPowerHoursPerDay,constant_trip_distance_mi,tax_rate_pct,discount_rate_pct_per_yr,vehicle_life_yr,vmt
1,Long haul,HDTC8,United States,2020,[500],long_haul_cyc.csv,16329.34474,36287.43275,30,65,80,20,1.1,0.55,1.3,0,0,0.041,7,"[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]"
2,Long haul,HDTC8,United States,2025,[500],long_haul_cyc.csv,16329.34474,36287.43275,30,65,80,20,1.1,0.55,1.3,0,0,0.041,7,"[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]"
3,Long haul,HDTC8,United States,2030,[500],long_haul_cyc.csv,16329.34474,36287.43275,30,65,80,20,1.1,0.55,1.3,0,0,0.041,7,"[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]"
4,Long haul,HDTC8,United States,2035,[500],long_haul_cyc.csv,16329.34474,36287.43275,30,65,80,20,1.1,0.55,1.3,0,0,0.041,7,"[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]"
5,Long haul,HDTC8,United States,2040,[500],long_haul_cyc.csv,16329.34474,36287.43275,30,65,80,20,1.1,0.55,1.3,0,0,0.041,7,"[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]"
6,Long haul,HDTC8,United States,2045,[500],long_haul_cyc.csv,16329.34474,36287.43275,30,65,80,20,1.1,0.55,1.3,0,0,0.041,7,"[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]"
7,Long haul,HDTC8,United States,2050,[500],long_haul_cyc.csv,16329.34474,36287.43275,30,65,80,20,1.1,0.55,1.3,0,0,0.041,7,"[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]"
