selection,scenario_name,veh_year,veh_pt_type,drag_coef,frontal_area_m2,veh_override_kg,fc_peak_eff_override,mc_peak_eff_override,stop_start,force_aux_on_fc,glider_kg,veh_cg_m,drive_axle_weight_frac,wheel_base_m,cargo_kg,comp_mass_multiplier,fs_max_kw,fs_secs_to_peak_pwr,fs_kwh,fs_kwh_per_kg,fc_max_kw,fc_pwr_out_perc,fc_eff_map,fc_eff_type,fc_sec_to_peak_pwr,fc_base_kg,fc_kw_per_kg,min_fc_time_on,idle_fc_kw,mc_max_kw,mc_pwr_out_perc,mc_eff_map,mc_sec_to_peak_pwr,mc_pe_kg_per_kw,mc_pe_base_kg,ess_max_kw,ess_max_kwh,ess_kg_per_kwh,ess_base_kg,ess_round_trip_eff,ess_life_coef_a,ess_life_coef_b,min_soc,max_soc,ess_dischg_to_fc_max_eff_perc,ess_chg_to_fc_max_eff_perc,wheel_inertia_kg_m2,num_wheels,wheel_rr_coef,wheel_radius_m,wheel_coef_of_fric,max_accel_buffer_mph,max_accel_buffer_perc_of_useable_soc,perc_high_acc_buf,mph_fc_on,kw_demand_fc_on,max_regen,alt_eff,chg_eff,aux_kw,trans_kg,trans_eff,ess_to_fuel_ok_error,val_udds_mpgge,val_hwy_mpgge,val_comb_mpgge,val_udds_kwh_per_mile,val_hwy_kwh_per_mile,val_comb_kwh_per_mile,val_cd_range_mi,val_const65_mph_kwh_per_mile,val_const60_mph_kwh_per_mile,val_const55_mph_kwh_per_mile,val_const45_mph_kwh_per_mile,val_unadj_udds_kwh_per_mile,val_unadj_hwy_kwh_per_mile,val0_to60_mph,val_ess_life_miles,val_range_miles,val_veh_base_cost,val_msrp
11,"Class 8 Sleeper cab mid roof (Diesel, 2035, no program)",2035,Conv,0.539210481,7.7,NA,-1,-1,FALSE,FALSE,11275.32261,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,332.5794028,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04535994, 0.06803991000000001, 0.12473983500000001, 0.2267997, 0.283499625, 0.374219505, 0.41957944999999996, 0.46493938999999995, 0.498959345, 0.51029933, 0.51029933, 0.51029933]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.29,0,0,0,3.31,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005659208,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.945,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Class 8 Sleeper cab low roof (Diesel, 2035, no program)",2035,Conv,0.466877368,6.9,NA,-1,-1,FALSE,FALSE,11275.32261,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,332.5794028,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04535994, 0.06803991000000001, 0.12473983500000001, 0.2267997, 0.283499625, 0.374219505, 0.41957944999999996, 0.46493938999999995, 0.498959345, 0.51029933, 0.51029933, 0.51029933]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.29,0,0,0,3.31,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005659208,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.945,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Class 8 Sleeper cab high roof (Diesel, 2040, no program)",2040,Conv,0.68,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.25,0,0,0,2.95,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005229,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.86,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Class 8 Sleeper cab mid roof (Diesel, 2040, no program)",2040,Conv,0.50841778,7.7,NA,-1,-1,FALSE,FALSE,11214.10333,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331.3510844,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04621997,0.06932995,0.12710492,0.23109985,0.28887481,0.38131475,0.42753472,0.47375469,0.50841967,0.51997466,0.51997466,0.51997466]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.25,0,0,0,2.95,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005394895,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.86,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Class 8 Sleeper cab low roof (Diesel, 2040, no program)",2040,Conv,0.440215395,6.9,NA,-1,-1,FALSE,FALSE,11214.10333,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331.3510844,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04621997,0.06932995,0.12710492,0.23109985,0.28887481,0.38131475,0.42753472,0.47375469,0.50841967,0.51997466,0.51997466,0.51997466]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.25,0,0,0,2.95,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005394895,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.86,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Class 8 Sleeper cab high roof (Diesel, 2050, no program)",2050,Conv,0.68,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.13,0,0,0,2.61,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.004623,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.74,300,0.99,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Class 8 Sleeper cab mid roof (Diesel, 2050, no program)",2050,Conv,0.434176388,7.7,NA,-1,-1,FALSE,FALSE,11124.63408,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,326.172034,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04799949,0.07199924,0.1319986,0.23999746,0.29999682,0.3959958,0.4439953,0.49199479,0.52799441,0.53999428,0.53999428,0.53999428]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.13,0,0,0,2.61,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.004775904,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.74,300,0.99,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Class 8 Sleeper cab low roof (Diesel, 2050, no program)",2050,Conv,0.375933214,6.9,NA,-1,-1,FALSE,FALSE,11124.63408,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,326.172034,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04799949,0.07199924,0.1319986,0.23999746,0.29999682,0.3959958,0.4439953,0.49199479,0.52799441,0.53999428,0.53999428,0.53999428]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.13,0,0,0,2.61,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.004775904,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.74,300,0.99,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Class 8 Sleeper cab high roof (Diesel, 2025, program success)",2025,Conv,0.68,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.39,0,0,0,4.18,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005931667,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.23,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Class 8 Sleeper cab mid roof (Diesel, 2025, program success)",2025,Conv,0.602728507,7.7,NA,-1,-1,FALSE,FALSE,11324.48487,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,337.2623226,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04521131,0.06781696,0.1243311,0.22605654,0.28257067,0.37299329,0.41820459,0.4634159,0.49732438,0.50862721,0.50862721,0.50862721]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.39,0,0,0,4.18,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.006021667,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.23,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Class 8 Sleeper cab low roof (Diesel, 2025, program success)",2025,Conv,0.521874683,6.9,NA,-1,-1,FALSE,FALSE,11324.48487,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,337.2623226,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04521131,0.06781696,0.1243311,0.22605654,0.28257067,0.37299329,0.41820459,0.4634159,0.49732438,0.50862721,0.50862721,0.50862721]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.39,0,0,0,4.18,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.006021667,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.23,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Class 8 Sleeper cab high roof (Diesel, 2030, program success)",2030,Conv,0.68,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.22,0,0,0,3.3,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005721875,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.03,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Class 8 Sleeper cab mid roof (Diesel, 2030, program success)",2030,Conv,0.569900257,7.7,NA,-1,-1,FALSE,FALSE,11054.09003,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,330.6394384,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04710606,0.07065909,0.12954167,0.23553031,0.29441289,0.38862502,0.43573108,0.48283714,0.51816669,0.5299432,0.5299432,0.5299432]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.22,0,0,0,3.3,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005808692,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.03,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Class 8 Sleeper cab low roof (Diesel, 2030, program success)",2030,Conv,0.493450222,6.9,NA,-1,-1,FALSE,FALSE,11054.09003,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,330.6394384,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04710606,0.07065909,0.12954167,0.23553031,0.29441289,0.38862502,0.43573108,0.48283714,0.51816669,0.5299432,0.5299432,0.5299432]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.22,0,0,0,3.3,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005808692,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.03,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Class 8 Sleeper cab high roof (Diesel, 2035, program success)",2035,Conv,0.68,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.195,0,0,0,2.935,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005360938,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.945,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Class 8 Sleeper cab mid roof (Diesel, 2035, program success)",2035,Conv,0.539171402,7.7,NA,-1,-1,FALSE,FALSE,10891.82193,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,328.2874797,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04918156, 0.07377233999999999, 0.135249295, 0.24590781499999997, 0.30738477, 0.40574789499999997, 0.45492946, 0.5041110200000001, 0.5409971950000001, 0.5532925799999999, 0.5532925799999999, 0.5532925799999999]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.195,0,0,0,2.935,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005442278,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.945,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
