selection,scenario_name,veh_year,veh_pt_type,drag_coef,frontal_area_m2,veh_override_kg,fc_peak_eff_override,mc_peak_eff_override,stop_start,force_aux_on_fc,glider_kg,veh_cg_m,drive_axle_weight_frac,wheel_base_m,cargo_kg,comp_mass_multiplier,fs_max_kw,fs_secs_to_peak_pwr,fs_kwh,fs_kwh_per_kg,fc_max_kw,fc_pwr_out_perc,fc_eff_map,fc_eff_type,fc_sec_to_peak_pwr,fc_base_kg,fc_kw_per_kg,min_fc_time_on,idle_fc_kw,mc_max_kw,mc_pwr_out_perc,mc_eff_map,mc_sec_to_peak_pwr,mc_pe_kg_per_kw,mc_pe_base_kg,ess_max_kw,ess_max_kwh,ess_kg_per_kwh,ess_base_kg,ess_round_trip_eff,ess_life_coef_a,ess_life_coef_b,min_soc,max_soc,ess_dischg_to_fc_max_eff_perc,ess_chg_to_fc_max_eff_perc,wheel_inertia_kg_m2,num_wheels,wheel_rr_coef,wheel_radius_m,wheel_coef_of_fric,max_accel_buffer_mph,max_accel_buffer_perc_of_useable_soc,perc_high_acc_buf,mph_fc_on,kw_demand_fc_on,max_regen,alt_eff,chg_eff,aux_kw,trans_kg,trans_eff,ess_to_fuel_ok_error,val_udds_mpgge,val_hwy_mpgge,val_comb_mpgge,val_udds_kwh_per_mile,val_hwy_kwh_per_mile,val_comb_kwh_per_mile,val_cd_range_mi,val_const65_mph_kwh_per_mile,val_const60_mph_kwh_per_mile,val_const55_mph_kwh_per_mile,val_const45_mph_kwh_per_mile,val_unadj_udds_kwh_per_mile,val_unadj_hwy_kwh_per_mile,val0_to60_mph,val_ess_life_miles,val_range_miles,val_veh_base_cost,val_msrp
1,"Class 8 Sleeper cab high roof (Diesel, 2020, no program)",2020,Conv,0.546,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,1.07,0,0,0,5.7,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.0061275,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.5,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Class 8 Sleeper cab mid roof (Diesel, 2020, no program)",2020,Conv,0.822,7.7,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,1.07,0,0,0,5.7,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.006255,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.5,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Class 8 Sleeper cab low roof (Diesel, 2020, no program)",2020,Conv,0.759,6.9,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,1.07,0,0,0,5.7,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.006255,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.5,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Class 8 Sleeper cab high roof (Diesel, 2025, no program)",2025,Conv,0.68,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.58,0,0,0,4.39,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005931667,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.23,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Class 8 Sleeper cab mid roof (Diesel, 2025, no program)",2025,Conv,0.602729566,7.7,NA,-1,-1,FALSE,FALSE,11399.88374,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,337.879805,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04373322,0.06559983,0.12026635,0.2186661,0.27333262,0.36079906,0.40453228,0.4482655,0.48106541,0.49199872,0.49199872,0.49199872]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.58,0,0,0,4.39,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.006021667,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.23,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Class 8 Sleeper cab low roof (Diesel, 2025, no program)",2025,Conv,0.5218756,6.9,NA,-1,-1,FALSE,FALSE,11399.88374,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,337.879805,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04373322,0.06559983,0.12026635,0.2186661,0.27333262,0.36079906,0.40453228,0.4482655,0.48106541,0.49199872,0.49199872,0.49199872]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.58,0,0,0,4.39,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.006021667,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.23,300,0.97,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Class 8 Sleeper cab high roof (Diesel, 2030, no program)",2030,Conv,0.68,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.33,0,0,0,3.67,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005733875,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.03,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Class 8 Sleeper cab mid roof (Diesel, 2030, no program)",2030,Conv,0.570003182,7.7,NA,-1,-1,FALSE,FALSE,11336.54189,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,333.8077211,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04449991,0.06674987,0.12237475,0.22249955,0.27812444,0.36712426,0.41162418,0.45612409,0.48949902,0.500624,0.500624,0.500624]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.33,0,0,0,3.67,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005923521,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.03,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Class 8 Sleeper cab low roof (Diesel, 2030, no program)",2030,Conv,0.493539341,6.9,NA,-1,-1,FALSE,FALSE,11336.54189,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,333.8077211,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04449991,0.06674987,0.12237475,0.22249955,0.27812444,0.36712426,0.41162418,0.45612409,0.48949902,0.500624,0.500624,0.500624]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.33,0,0,0,3.67,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005923521,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,3.03,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Class 8 Sleeper cab high roof (Diesel, 2035, no program)",2035,Conv,0.68,10.4,NA,-1,-1,FALSE,FALSE,11776,-0.46,0.8,5.88,17236,1.2,5000,1,11385,12.67,331,"[0.,0.005,0.015,0.04,0.06,0.1,0.14,0.2,0.4,0.6,0.8,1.]","[0.04,0.06,0.11,0.2,0.25,0.33,0.37,0.41,0.44,0.45,0.45,0.45]",HD_Diesel,6,0,0.26,5,0,0,"[0.,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1.]","[0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.92]",1,0.29,0,0,0,3.31,75,0.97,130,-0.6811,0.05,0.95,0,0,11.84,18,0.005481438,0.506,0.6,60,0.2,0,55,9999,0.9,1,0.98,2.945,300,0.98,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
