name,SleeperTractorHighRoof_noprogram_2021,SleeperTractorMidRoof_noprogram_2021,SleeperTractorLowRoof_noprogram_2021,DayCabTractorHighRoof_noprogram_2021,DayCabTractorMidRoof_noprogram_2021,DayCabTractorLowRoof_noprogram_2021,SleeperTractorHighRoof_noprogram_2025,SleeperTractorMidRoof_noprogram_2025,SleeperTractorLowRoof_noprogram_2025,DayCabTractorHighRoof_noprogram_2025,DayCabTractorMidRoof_noprogram_2025,DayCabTractorLowRoof_noprogram_2025,SleeperTractorHighRoof_noprogram_2030,SleeperTractorMidRoof_noprogram_2030,SleeperTractorLowRoof_noprogram_2030,DayCabTractorHighRoof_noprogram_2030,DayCabTractorMidRoof_noprogram_2030,DayCabTractorLowRoof_noprogram_2030,SleeperTractorHighRoof_noprogram_2040,SleeperTractorMidRoof_noprogram_2040,SleeperTractorLowRoof_noprogram_2040,DayCabTractorHighRoof_noprogram_2040,DayCabTractorMidRoof_noprogram_2040,DayCabTractorLowRoof_noprogram_2040,SleeperTractorHighRoof_noprogram_2050,SleeperTractorMidRoof_noprogram_2050,SleeperTractorLowRoof_noprogram_2050,DayCabTractorHighRoof_noprogram_2050,DayCabTractorMidRoof_noprogram_2050,DayCabTractorLowRoof_noprogram_2050,Class8Vocational_noprogram_2021,Class67Vocational_noprogram_2021,Class45Vocational_noprogram_2021,Class8Vocational_noprogram_2025,Class67Vocational_noprogram_2025,Class45Vocational_noprogram_2025,Class8Vocational_noprogram_2030,Class67Vocational_noprogram_2030,Class45Vocational_noprogram_2030,Class8Vocational_noprogram_2040,Class67Vocational_noprogram_2040,Class45Vocational_noprogram_2040,Class8Vocational_noprogram_2050,Class67Vocational_noprogram_2050,Class45Vocational_noprogram_2050,SleeperTractorHighRoof_programsuccess_2021,SleeperTractorMidRoof_programsuccess_2021,SleeperTractorLowRoof_programsuccess_2021,DayCabTractorHighRoof_programsuccess_2021,DayCabTractorMidRoof_programsuccess_2021,DayCabTractorLowRoof_programsuccess_2021,SleeperTractorHighRoof_programsuccess_2025,SleeperTractorMidRoof_programsuccess_2025,SleeperTractorLowRoof_programsuccess_2025,DayCabTractorHighRoof_programsuccess_2025,DayCabTractorMidRoof_programsuccess_2025,DayCabTractorLowRoof_programsuccess_2025,SleeperTractorHighRoof_programsuccess_2030,SleeperTractorMidRoof_programsuccess_2030,SleeperTractorLowRoof_programsuccess_2030,DayCabTractorHighRoof_programsuccess_2030,DayCabTractorMidRoof_programsuccess_2030,DayCabTractorLowRoof_programsuccess_2030,SleeperTractorHighRoof_programsuccess_2040,SleeperTractorMidRoof_programsuccess_2040,SleeperTractorLowRoof_programsuccess_2040,DayCabTractorHighRoof_programsuccess_2040,DayCabTractorMidRoof_programsuccess_2040,DayCabTractorLowRoof_programsuccess_2040,SleeperTractorHighRoof_programsuccess_2050,SleeperTractorMidRoof_programsuccess_2050,SleeperTractorLowRoof_programsuccess_2050,DayCabTractorHighRoof_programsuccess_2050,DayCabTractorMidRoof_programsuccess_2050,DayCabTractorLowRoof_programsuccess_2050,Class8Vocational_programsuccess_2021,Class67Vocational_programsuccess_2021,Class45Vocational_programsuccess_2021,Class8Vocational_programsuccess_2025,Class67Vocational_programsuccess_2025,Class45Vocational_programsuccess_2025,Class8Vocational_programsuccess_2030,Class67Vocational_programsuccess_2030,Class45Vocational_programsuccess_2030,Class8Vocational_programsuccess_2040,Class67Vocational_programsuccess_2040,Class45Vocational_programsuccess_2040,Class8Vocational_programsuccess_2050,Class67Vocational_programsuccess_2050,Class45Vocational_programsuccess_2050,SleeperTractorHighRoof_noprogram_2035,SleeperTractorMidRoof_noprogram_2035,SleeperTractorLowRoof_noprogram_2035,DayCabTractorHighRoof_noprogram_2035,DayCabTractorMidRoof_noprogram_2035,DayCabTractorLowRoof_noprogram_2035,Class8Vocational_noprogram_2035,Class67Vocational_noprogram_2035,Class45Vocational_noprogram_2035,SleeperTractorHighRoof_programsuccess_2035,SleeperTractorMidRoof_programsuccess_2035,SleeperTractorLowRoof_programsuccess_2035,DayCabTractorHighRoof_programsuccess_2035,DayCabTractorMidRoof_programsuccess_2035,DayCabTractorLowRoof_programsuccess_2035,Class8Vocational_programsuccess_2035,Class67Vocational_programsuccess_2035,Class45Vocational_programsuccess_2035
CdA_perc_imp_at_which_wt_penalty_maxes_out,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.18,0.18,0.18,0.18,0.18,0.18,0.21,0.21,0.21,0.18,0.18,0.18,0.18,0.18,0.18,0.21,0.21,0.21
CdA_perc_imp_knob_max,0.2,0.2,0.2,0.2,0.2,0.2,0.265,0.265,0.265,0.265,0.265,0.265,0.305,0.305,0.305,0.305,0.305,0.305,0.38,0.3575252825698988,0.38,0.38,0.3575252825698988,0.38,0.47058823529411775,0.3575252825698988,0.4063895568533149,0.4634146341463413,0.3575252825698988,0.4063895568533149,0.11764705882352955,0.11764705882352955,0.11764705882352955,0.16176470588235303,0.18627450980392163,0.18627450980392163,0.16176470588235303,0.2371323529411765,0.2371323529411765,0.16176470588235303,0.28897058823529415,0.28897058823529415,0.16176470588235303,0.3375,0.3375,0.2,0.2,0.2,0.2,0.2,0.2,0.265,0.265,0.265,0.265,0.265,0.265,0.305,0.305,0.305,0.305,0.305,0.305,0.38,0.3575252825698988,0.38,0.38,0.3575252825698988,0.38,0.47058823529411775,0.3575252825698988,0.4063895568533149,0.4634146341463413,0.3575252825698988,0.4063895568533149,0.11764705882352955,0.11764705882352955,0.11764705882352955,0.16176470588235303,0.18627450980392163,0.18627450980392163,0.16176470588235303,0.2371323529411765,0.2371323529411765,0.16176470588235303,0.28897058823529415,0.28897058823529415,0.16176470588235303,0.3375,0.3375,0.3425,0.3312626412849494,0.3425,0.3425,0.3312626412849494,0.3425,0.16176470588235303,0.2630514705882353,0.2630514705882353,0.3425,0.3312626412849494,0.3425,0.3425,0.3312626412849494,0.3425,0.16176470588235303,0.2630514705882353,0.2630514705882353
CdA_perc_imp_knob_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cost_a,52.053,52.053,52.053,52.053,52.053,52.053,50.00190410852999,50.00190410852999,50.00190410852999,50.00190410852999,50.00190410852999,50.00190410852999,45.19776100329961,45.19776100329961,45.19776100329961,45.19776100329961,45.19776100329961,45.19776100329961,36.929861447998505,36.929861447998505,36.929861447998505,36.929861447998505,36.929861447998505,36.929861447998505,30.174385551284335,30.174385551284335,30.174385551284335,30.174385551284335,30.174385551284335,30.174385551284335,106.952,106.952,106.952,102.73766446152,102.73766446152,102.73766446152,92.86671152142819,92.86671152142819,92.86671152142819,75.878864649229385,75.878864649229385,75.878864649229385,61.998556922386086,61.998556922386086,61.998556922386086,52.053,52.053,52.053,52.053,52.053,52.053,54.292,54.292,54.292,54.292,54.292,54.292,49.07566789986559,49.07566789986559,49.07566789986559,49.07566789986559,49.07566789986559,49.07566789986559,40.09839372082425,40.09839372082425,40.09839372082425,40.09839372082425,40.09839372082425,40.09839372082425,32.76330710915584,32.76330710915584,32.76330710915584,32.76330710915584,32.76330710915584,32.76330710915584,106.952,106.952,106.952,80.7399,80.7399,80.7399,72.98247474155231,72.98247474155231,72.98247474155231,59.631995490679614,59.631995490679614,59.631995490679614,48.72368193587511,48.72368193587511,48.72368193587511,41.06381122564906,41.06381122564906,41.06381122564906,41.06381122564906,41.06381122564906,41.06381122564906,84.37278808532878,84.37278808532878,84.37278808532878,44.58703081034492,44.58703081034492,44.58703081034492,44.58703081034492,44.58703081034492,44.58703081034492,66.30723511611596,66.30723511611596,66.30723511611596
cost_b,6.7018,6.7018,6.7018,6.7018,6.7018,6.7018,6.437722339818,6.437722339818,6.437722339818,6.437722339818,6.437722339818,6.437722339818,5.819191106985446,5.819191106985446,5.819191106985446,5.819191106985446,5.819191106985446,5.819191106985446,4.754702811599648,4.754702811599648,4.754702811599648,4.754702811599648,4.754702811599648,4.754702811599648,3.884938372189834,3.884938372189834,3.884938372189834,3.884938372189834,3.884938372189834,3.884938372189834,0.2972,0.2972,0.2972,0.285489134172,0.285489134172,0.285489134172,0.2580595656384963,0.2580595656384963,0.2580595656384963,0.21085345364042724,0.21085345364042724,0.21085345364042724,0.17228262320791707,0.17228262320791707,0.17228262320791707,6.7018,6.7018,6.7018,6.7018,6.7018,6.7018,2.4529,2.4529,2.4529,2.4529,2.4529,2.4529,2.2172273224707197,2.2172273224707197,2.2172273224707197,2.2172273224707197,2.2172273224707197,2.2172273224707197,1.8116361518789104,1.8116361518789104,1.8116361518789104,1.8116361518789104,1.8116361518789104,1.8116361518789104,1.4802386356746549,1.4802386356746549,1.4802386356746549,1.4802386356746549,1.4802386356746549,1.4802386356746549,0.2972,0.2972,0.2972,0.5095,0.5095,0.5095,0.46054764596959985,0.46054764596959985,0.46054764596959985,0.376300957797833,0.376300957797833,0.376300957797833,0.3074652798223476,0.3074652798223476,0.3074652798223476,5.286946959292547,5.286946959292547,5.286946959292547,5.286946959292547,5.286946959292547,5.286946959292547,0.23445650963946177,0.23445650963946177,0.23445650963946177,2.014431737174815,2.014431737174815,2.014431737174815,2.014431737174815,2.014431737174815,2.014431737174815,0.41842430188371643,0.41842430188371643,0.41842430188371643
mass_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5542,0.5542,0.5542,0.532362308742,0.532362308742,0.532362308742,0.48121336230435613,0.48121336230435613,0.48121336230435613,0.39318635264981416,0.39318635264981416,0.39318635264981416,0.3212618767894604,0.3212618767894604,0.3212618767894604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5542,0.5542,0.5542,0.511176434272,0.511176434272,0.511176434272,0.43896459724536596,0.43896459724536596,0.43896459724536596,0.3237030848614478,0.3237030848614478,0.3237030848614478,0.2644889881459008,0.2644889881459008,0.2644889881459008,0,0,0,0,0,0,0.4371998574770851,0.4371998574770851,0.4371998574770851,0,0,0,0,0,0,0.38133384105340684,0.38133384105340684,0.38133384105340684
mass_b,1.7968,1.7968,1.7968,1.7968,1.7968,1.7968,1.7259989107679998,1.7259989107679998,1.7259989107679998,1.7259989107679998,1.7259989107679998,1.7259989107679998,1.5601663106973422,1.5601663106973422,1.5601663106973422,1.5601663106973422,1.5601663106973422,1.5601663106973422,1.2747694666928655,1.2747694666928655,1.2747694666928655,1.2747694666928655,1.2747694666928655,1.2747694666928655,1.0415794662852804,1.0415794662852804,1.0415794662852804,1.0415794662852804,1.0415794662852804,1.0415794662852804,0.6208,0.6208,0.6208,0.596338003008,0.596338003008,0.596338003008,0.5390423228411121,0.5390423228411121,0.5390423228411121,0.4404368237549705,0.4404368237549705,0.4404368237549705,0.35986895184210943,0.35986895184210943,0.35986895184210943,1.7968,1.7968,1.7968,1.7968,1.7968,1.7968,1.6573111098879998,1.6573111098879998,1.6573111098879998,1.6573111098879998,1.6573111098879998,1.6573111098879998,1.423189441231457,1.423189441231457,1.423189441231457,1.423189441231457,1.423189441231457,1.423189441231457,1.049494231106188,1.049494231106188,1.049494231106188,1.049494231106188,1.049494231106188,1.049494231106188,0.8575131972222204,0.8575131972222204,0.8575131972222204,0.8575131972222204,0.8575131972222204,0.8575131972222204,0.6208,0.6208,0.6208,0.572606153728,0.572606153728,0.572606153728,0.4917163875314384,0.4917163875314384,0.4917163875314384,0.36260352775529914,0.36260352775529914,0.36260352775529914,0.29627348221034866,0.29627348221034866,0.29627348221034866,1.417467888695104,1.417467888695104,1.417467888695104,1.417467888695104,1.417467888695104,1.417467888695104,0.4897395732980413,0.4897395732980413,0.4897395732980413,1.2363418361688225,1.2363418361688225,1.2363418361688225,1.2363418361688225,1.2363418361688225,1.2363418361688225,0.4271599576433688,0.4271599576433688,0.4271599576433688
