"","CABSLEEPER","WEIGHTAVG","WEIGHTEMPTY","TAB_TRUCKS","TAB_MILES"
"974","Day",80000,17000,46.3266,875806
"975","Sleeper",80000,28500,46.3266,5009163
"977","Sleeper",75000,31000,46.3266,8573630
"979","Sleeper",80000,42000,46.3266,138980
"981","Sleeper",55000,19000,46.3266,4586340
"982","Unknown",65000,NA,46.3266,6246780
"983","Sleeper",78000,46000,46.3266,1492414
"985","Sleeper",80000,26000,46.3266,2779600
"991","Day",80000,NA,46.3266,2040782
"992","Sleeper",80000,18000,46.3266,6775368
"994","Sleeper",75000,34000,46.3266,833880
"1002","Day",78000,34000,46.3266,7412267
"1004","Sleeper",38000,23000,46.3266,363942
"1006","Sleeper",80000,31000,46.3266,1776118
"1009","Sleeper",75000,NA,46.3266,101085
"1011","Sleeper",80000,40000,46.3266,5698180
"1014","Day",39000,NA,46.3266,138980
"1016","Sleeper",78000,30000,46.3266,2961895
"1019","Day",80000,24800,46.3266,3367393
"1023","Day",80000,24500,46.3266,3068632
"1025","Unknown",65000,NA,46.3266,6246780
"1027","Sleeper",54396,36396,46.3266,12177196
"1035","Sleeper",80000,33000,46.3266,2779600
"1038","Day",80001,26100,46.3266,5786618
"1040","Sleeper",68500,38500,46.3266,3857992
"1042","Sleeper",46500,34500,46.3266,479991
"1043","Sleeper",79000,31500,46.3266,6949000
"1049","Sleeper",78000,30000,46.3266,231633
"1050","Sleeper",80000,33000,46.3266,7555879
"1051","Day",80000,30000,46.3266,3706133
"1052","Day",85000,32000,46.3266,1389800
"1061","Day",50000,30000,46.3266,1425147
"1064","Sleeper",79000,40000,46.3266,4193583
"1068","Sleeper",84000,28500,46.3266,1915561
"1075","Day",80000,24800,46.3266,4511754
"1077","Sleeper",75000,31000,46.3266,7474947
"1078","Day",82000,32000,46.3266,231633
"1081","Sleeper",76000,34000,46.3266,3393150
"1083","Sleeper",79000,32700,46.3266,3706133
"1085","Day",54000,30000,46.3266,231633
"1086","Day",39000,NA,46.3266,463267
"1087","Day",79500,26500,46.3266,3416453
"1092","Day",90057,30057,46.3266,2271582
"1093","Sleeper",80000,18000,46.3266,5559200
"1111","Unknown",52000,NA,46.3266,0
