Index,Year,PowertrainNumber,PowertrainName,vehPtType,fuelStorSecsToPeakPwr,fuelStorKwhPerKg,fcEffType,engineMap,fcAbsEffImpr,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,motorPeakEff,motorSecsToPeakPwr,mcPeKgPerKw,mcPeBaseKg,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,essToFuelOkError,maxRegen,minFcTimeOn,idleFcKw,desired_ess_replacements,ess_cost_dol_per_kw,ess_cost_dol_per_kwh,ess_base_cost_dol,ess_cost_reduction_dol_per_yr,ess_salvage_value_dol,pe_mc_cost_dol_per_kw,pe_mc_base_cost_dol,fc_ice_cost_dol_per_kw,fc_ice_base_cost_dol,fc_fuelcell_cost_dol_per_kw,fs_cost_dol_per_kwh,fs_h2_cost_dol_per_kwh,plug_base_cost_dol,fc_cng_ice_cost_dol_per_kw,fs_cng_cost_dol_per_kwh,mcPwrOutPerc,largeBaselineEff,smallBaselineEff,modernMax,stopStart,fuel_type,CONV_maintDolPerMi,ADV_maintDolPerMi,gvwr_credit_kg
1,2020,1,Conv,1,1,9.875636446,5,"[0, 0.02, 0.07, 0.16, 0.21, 0.29, 0.33, 0.37, 0.4, 0.41, 0.41, 0.41]",0.036,6,0,0.2745,0.93,4,0.333333333,0,4.7,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.005,0.9,30,0,0,0,197,0,0,0,8,0,47.3,-0.45,190,0.07,36,0,55,7.467735503,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
2,2025,1,Conv,1,1,9.875636446,5,"[0.02, 0.04, 0.09, 0.18, 0.23, 0.31, 0.35, 0.39, 0.42, 0.43, 0.43, 0.43]",0.07,6,0,0.2745,0.939526407,4,0.266344418,0,4.03,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.876644661,0.005,0.9,30,0,0,0,170,0,0,0,6,0,47.3,11499.55,135,0.07,16,0,55,4.695593942,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
3,2030,1,Conv,1,1,9.875636446,5,"[0.0375, 0.0575, 0.1075, 0.1975, 0.2475, 0.3275, 0.3675, 0.4075, 0.4375, 0.4475, 0.4475, 0.4475]",0.084,6,0,0.2745,0.947677439,4,0.233992266,0,3.724,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.891223036,0.005,0.9,30,0,0,0,152,0,0,0,5.6,0,47.3,8999.55,120,0.07,14.4,0,55,4.520751209,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
4,2035,1,Conv,1,1,9.875636446,5,"[0.05, 0.07, 0.12, 0.21, 0.26, 0.34, 0.38, 0.42, 0.45, 0.46, 0.46, 0.46]",0.098,6,0,0.2745,0.95582847,4,0.201640113,0,3.418,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.90580141,0.005,0.9,30,0,0,0,134,0,0,0,5.2,0,47.3,6499.55,105,0.07,12.8,0,55,4.345908476,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
5,2040,1,Conv,1,1,9.875636446,5,"[0.0633, 0.0833, 0.1333, 0.2233, 0.2733, 0.3533, 0.3933, 0.4333, 0.4633, 0.4733, 0.4733, 0.4733]",0.112,6,0,0.2745,0.963979502,4,0.169287961,0,3.112,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.920379785,0.005,0.9,30,0,0,0,116,0,0,0,4.8,0,47.3,3999.55,90,0.07,11.2,0,55,4.171065743,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
6,2045,1,Conv,1,1,9.875636446,5,"[0.0767, 0.0967, 0.1467, 0.2367, 0.2867, 0.3667, 0.4067, 0.4467, 0.4767, 0.4867, 0.4867, 0.4867]",0.126,6,0,0.2745,0.972130534,4,0.136935809,0,2.806,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.93495816,0.005,0.9,30,0,0,0,98,0,0,0,4.4,0,47.3,1499.55,75,0.07,9.6,0,55,3.99622301,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
7,2050,1,Conv,1,1,9.875636446,5,"[0.09, 0.11, 0.16, 0.25, 0.3, 0.38, 0.42, 0.46, 0.49, 0.5, 0.5, 0.5]",0.14,6,0,0.2745,0.980281565,4,0.104583657,0,2.5,75,0.97,110,-0.6811,0.1,0.95,0,0,60,0.2,0,55,100,1,0.949536534,0.005,0.9,30,0,0,0,80,0,0,0,4,0,47.3,-1000.45,60,0.07,8,0,55,3.821380277,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',diesel,0.35,0,0
8,2020,2,FCEV,2,1,1.48,4,"[0.1344, 0.3344, 0.3944, 0.4844, 0.5344, 0.5944, 0.6144, 0.6344, 0.6144, 0.6044, 0.5844, 0.5744]",0.04,5,0,0.96,0.93,4,0.333333333,0,4.7,75,0.97,110,-0.6811,0.4,0.8,0,0,60,0.2,0,1,100,1,0.86,0.005,0.9,30,0,0,0,197,0,0,0,8,0,190,-0.45,190,36,36,0,55,7.467735503,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',hydrogen,0,0.39,0
9,2025,2,FCEV,2,1,1.8,4,"[0.1457, 0.3457, 0.4057, 0.4957, 0.5457, 0.6057, 0.6257, 0.6457, 0.6257, 0.6157, 0.5957, 0.5857]",0.06,5,0,1.02,0.939526407,4,0.266344418,0,4.03,75,0.97,110,-0.6811,0.4,0.8,0,0,60,0.2,0,1,100,1,0.876644661,0.005,0.9,30,0,0,0,170,0,0,0,6,0,135,11499.55,135,16,16,0,55,4.695593942,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',hydrogen,0,0.39,0
10,2030,2,FCEV,2,1,1.88,4,"[0.1621, 0.3621, 0.4221, 0.5121, 0.5621, 0.6221, 0.6421, 0.6621, 0.6421, 0.6321, 0.6121, 0.6021]",0.072,5,0,1.032,0.947677439,4,0.233992266,0,3.724,75,0.97,110,-0.6811,0.4,0.8,0,0,60,0.2,0,1,100,1,0.891223036,0.005,0.9,30,0,0,0,152,0,0,0,5.6,0,120,8999.55,120,14.4,14.4,0,55,4.520751209,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]","[0.83, 0.85,	0.87, 0.89,	0.90, 0.91,	0.93, 0.94, 0.94, 0.93, 0.92]","[0.12, 0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93, 0.92]",0.95,False',hydrogen,0,0.39,0
