Index,Year,PowertrainNumber,PowertrainName,maxFuelStorKw,fuelStorKwh,maxMotorKw,maxEssKw,maxEssKwh,maxFuelConvKw
1,2020,1,Conv,5000,1904.05,0,0,0,168
2,2025,1,Conv,5000,1904.05,0,0,0,168
3,2030,1,Conv,5000,1904.05,0,0,0,168
4,2035,1,Conv,5000,1904.05,0,0,0,168
5,2040,1,Conv,5000,1904.05,0,0,0,168
6,2045,1,Conv,5000,1904.05,0,0,0,168
7,2050,1,Conv,5000,1904.05,0,0,0,168
8,2020,2,FCEV,5000,550,168,184.8,20,168
9,2025,2,FCEV,5000,550,168,184.8,20,168
10,2030,2,FCEV,5000,550,168,184.8,20,168
11,2035,2,FCEV,5000,550,168,184.8,20,168
12,2040,2,FCEV,5000,550,168,184.8,20,168
13,2045,2,FCEV,5000,550,168,184.8,20,168
14,2050,2,FCEV,5000,550,168,184.8,20,168
